NODE,PI?,PO?,NODE DELAY,NODE LABEL
g2888,N,Y,1,0,
II6805,N,N,1,0,
g3077,N,Y,1,0,
g287[IL],Y,N,0,0,
II6834,N,N,1,0,
g3096,N,Y,1,0,
g368[IL],Y,N,0,0,
II6849,N,N,1,0,
g3130,N,Y,1,0,
g449[IL],Y,N,0,0,
II6856,N,N,1,0,
g3159,N,Y,1,0,
g530[IL],Y,N,0,0,
II6868,N,N,1,0,
g3191,N,Y,1,0,
g1461[IL],Y,N,0,0,
II5435,N,N,1,0,
g1558,N,N,1,0,
II6680,N,N,1,0,
g2936,N,N,1,0,
II7290,N,N,1,0,
g3829,N,Y,1,0,
II6959,N,N,1,0,
g3461,N,N,1,0,
II7380,N,N,1,0,
g3859,N,Y,1,0,
II6963,N,N,1,0,
g3465,N,N,1,0,
II7383,N,N,1,0,
g3860,N,Y,1,0,
g1073[IL],Y,N,0,0,
g1611,N,N,1,0,
g2655,N,N,1,0,
II8205,N,N,1,0,
g4267,N,Y,1,0,
g878[IL],Y,N,0,0,
II8291,N,N,1,0,
g4316,N,Y,1,0,
g1160[IL],Y,N,0,0,
II8351,N,N,1,0,
g4370,N,Y,1,0,
g1163[IL],Y,N,0,0,
II8354,N,N,1,0,
g4371,N,Y,1,0,
g1182[IL],Y,N,0,0,
II8357,N,N,1,0,
g4372,N,Y,1,0,
g1186[IL],Y,N,0,0,
II8360,N,N,1,0,
g4373,N,Y,1,0,
g936[IL],Y,N,0,0,
g2555,N,N,1,0,
g940[IL],Y,N,0,0,
g2557,N,N,1,0,
II6538,N,N,1,0,
II6539,N,N,1,0,
II6540,N,N,1,0,
g2801,N,N,1,0,
II8268,N,N,1,1,
g4303,N,N,1,1,
II8880,N,N,1,1,
g4655,N,Y,1,1,
g1375[IL],Y,N,0,0,
g1371[IL],Y,N,0,0,
g1372[IL],Y,N,0,0,
g1373[IL],Y,N,0,0,
g1374[IL],Y,N,0,0,
g2229,N,N,1,0,
g1367[IL],Y,N,0,0,
g1368[IL],Y,N,0,0,
g1369[IL],Y,N,0,0,
g1370[IL],Y,N,0,0,
g2213,N,N,1,0,
g1363[IL],Y,N,0,0,
g1364[IL],Y,N,0,0,
g1365[IL],Y,N,0,0,
g1366[IL],Y,N,0,0,
g2206,N,N,1,0,
g3504,N,N,1,1,
II8277,N,N,1,1,
g4308,N,N,1,1,
II8886,N,N,1,1,
g4657,N,Y,1,1,
g1392[IL],Y,N,0,0,
g2343,N,N,1,0,
g1391[IL],Y,N,0,0,
g3528,N,N,1,0,
II7987,N,N,1,0,
g4130,N,N,1,0,
II8895,N,N,1,0,
g4660,N,Y,1,0,
g1394[IL],Y,N,0,0,
g2263,N,N,1,0,
g1395[IL],Y,N,0,0,
g3505,N,N,1,0,
II7888,N,N,1,0,
g4089,N,N,1,0,
II8898,N,N,1,0,
g4661,N,Y,1,0,
g1397[IL],Y,N,0,0,
g2359,N,N,1,0,
g1398[IL],Y,N,0,0,
g3555,N,N,1,0,
II7981,N,N,1,0,
g4126,N,N,1,0,
II8904,N,N,1,0,
g4663,N,Y,1,0,
g1400[IL],Y,N,0,0,
g2282,N,N,1,0,
g1401[IL],Y,N,0,0,
g3516,N,N,1,0,
II7908,N,N,1,0,
g4095,N,N,1,0,
II8907,N,N,1,0,
g4664,N,Y,1,0,
g1554,Y,N,0,0,
II6242,N,N,1,0,
g2380,N,N,1,0,
g3676,N,N,1,0,
g4134,N,N,1,0,
II9250,N,N,1,0,
g4892,N,N,1,0,
II9555,N,N,1,0,
g5143,N,Y,1,1,
g887[IL],Y,N,0,0,
g1852,N,N,1,0,
g3086,N,N,1,0,
g889[IL],Y,N,0,0,
g1857,N,N,1,0,
g3124,N,N,1,0,
g4302,N,N,1,1,
II9064,N,N,1,1,
g4742,N,N,1,1,
II9618,N,N,1,1,
g5164,N,Y,1,1,
g1236[IL],Y,N,0,0,
II10032,N,N,1,0,
g5571,N,Y,1,0,
g13[IL],Y,N,0,0,
II6358,N,N,1,0,
g2532,N,N,1,0,
II7079,N,N,1,0,
g3611,N,N,1,0,
II8428,N,N,1,0,
g4426,N,N,1,0,
II9493,N,N,1,0,
g5109,N,N,1,1,
II10154,N,N,1,1,
g5669,N,Y,1,1,
g16[IL],Y,N,0,0,
II6363,N,N,1,0,
g2539,N,N,1,0,
II7095,N,N,1,0,
g3630,N,N,1,0,
II8449,N,N,1,0,
g4443,N,N,1,0,
II9217,N,N,1,0,
g4873,N,N,1,1,
II10169,N,N,1,1,
g5678,N,Y,1,1,
g20[IL],Y,N,0,0,
II6368,N,N,1,0,
g2546,N,N,1,0,
II7112,N,N,1,0,
g3640,N,N,1,0,
II8480,N,N,1,0,
g4462,N,N,1,0,
II9025,N,N,1,0,
g4721,N,N,1,1,
II10177,N,N,1,1,
g5682,N,Y,1,1,
g33[IL],Y,N,0,0,
II6371,N,N,1,0,
g2547,N,N,1,0,
II7115,N,N,1,0,
g3641,N,N,1,0,
II8483,N,N,1,0,
g4463,N,N,1,0,
II9531,N,N,1,0,
g5129,N,N,1,1,
II10183,N,N,1,1,
g5684,N,Y,1,1,
g38[IL],Y,N,0,0,
II6376,N,N,1,0,
g2554,N,N,1,0,
II7132,N,N,1,0,
g3652,N,N,1,0,
II8520,N,N,1,0,
g4482,N,N,1,0,
II8925,N,N,1,0,
g4670,N,N,1,1,
II10190,N,N,1,1,
g5687,N,Y,1,1,
g49,Y,N,0,0,
II5428,N,N,1,0,
g1555,N,N,1,0,
g2561,N,N,1,0,
II7287,N,N,1,0,
g3828,N,N,1,0,
II8706,N,N,1,0,
g4597,N,N,1,0,
II9558,N,N,1,1,
g5144,N,N,1,1,
g5729,N,Y,1,1,
g173[IL],Y,N,0,0,
II5897,N,N,1,0,
g2157,N,N,1,0,
II7164,N,N,1,0,
g3674,N,N,1,0,
II8308,N,N,1,0,
g4341,N,N,1,0,
II9344,N,N,1,0,
g5014,N,N,1,1,
II10236,N,N,1,1,
g5719,N,N,1,1,
II10962,N,N,1,1,
g6207,N,Y,1,1,
g1389[IL],Y,N,0,0,
II5649,N,N,1,0,
g1795,N,N,1,0,
II7195,N,N,1,0,
g3691,N,N,1,0,
II8315,N,N,1,0,
g4350,N,N,1,0,
II9366,N,N,1,0,
g5026,N,N,1,1,
II10243,N,N,1,1,
g5726,N,N,1,1,
II10973,N,N,1,1,
g6212,N,Y,1,1,
g1486[IL],Y,N,0,0,
g1742,N,N,1,0,
II7211,N,N,1,0,
g3721,N,N,1,0,
II8333,N,N,1,0,
g4360,N,N,1,0,
II9422,N,N,1,0,
g5060,N,N,1,0,
II10204,N,N,1,1,
g5693,N,N,1,1,
II11008,N,N,1,1,
g6223,N,Y,1,1,
g1189[IL],Y,N,0,0,
g1955,N,N,1,0,
II7255,N,N,1,0,
g3783,N,N,1,0,
II8373,N,N,1,0,
g4382,N,N,1,0,
II9499,N,N,1,0,
g5113,N,N,1,1,
II9804,N,N,1,1,
g5299,N,N,1,1,
II11037,N,N,1,1,
g6236,N,Y,1,1,
II11090,N,N,1,0,
g6269,N,Y,1,0,
II7746,N,N,1,0,
g4005,N,N,1,0,
II8935,N,N,1,0,
g4678,N,N,1,0,
II9774,N,N,1,0,
g5258,N,N,1,1,
II10684,N,N,1,1,
g6065,N,N,1,1,
II11556,N,N,1,1,
g6425,N,Y,1,1,
g1251[IL],Y,N,0,0,
g1922,N,N,1,0,
g2810,N,N,1,0,
II8543,N,N,1,0,
g4493,N,N,1,0,
II9336,N,N,1,0,
g5007,N,N,1,0,
II10151,N,N,1,0,
g5668,N,N,1,1,
II10933,N,N,1,1,
g6190,N,N,1,1,
II11926,N,N,1,1,
g6648,N,Y,1,1,
g1250[IL],Y,N,0,0,
g1948,N,N,1,0,
g3071,N,N,1,0,
II8565,N,N,1,0,
g4503,N,N,1,0,
II9350,N,N,1,0,
g5016,N,N,1,0,
II10166,N,N,1,0,
g5677,N,N,1,1,
II10617,N,N,1,1,
g6015,N,N,1,1,
II11939,N,N,1,1,
g6653,N,Y,1,1,
g1432[IL],Y,N,0,0,
g1967,N,N,1,0,
II6791,N,N,1,0,
g3051,N,N,1,0,
II8665,N,N,1,0,
g4564,N,N,1,0,
II9443,N,N,1,0,
g5075,N,N,1,0,
II10207,N,N,1,1,
g5696,N,N,1,1,
II11055,N,N,1,1,
g6246,N,N,1,1,
II11981,N,N,1,1,
g6675,N,Y,1,1,
g831[IL],Y,N,0,0,
II6201,N,N,1,0,
II6202,N,N,1,0,
II6203,N,N,1,0,
g2367,N,N,1,0,
g843[IL],Y,N,0,0,
II6170,N,N,1,0,
II6171,N,N,1,0,
II6172,N,N,1,0,
g2352,N,N,1,0,
g834[IL],Y,N,0,0,
II6232,N,N,1,0,
II6233,N,N,1,0,
II6234,N,N,1,0,
g2378,N,N,1,0,
g846[IL],Y,N,0,0,
II6133,N,N,1,0,
II6134,N,N,1,0,
II6135,N,N,1,0,
g2330,N,N,1,0,
II7232,N,N,1,1,
g849[IL],Y,N,0,0,
II6102,N,N,1,0,
II6103,N,N,1,0,
II6104,N,N,1,0,
g2315,N,N,1,0,
g837[IL],Y,N,0,0,
II6257,N,N,1,0,
II6258,N,N,1,0,
II6259,N,N,1,0,
g2385,N,N,1,0,
g852[IL],Y,N,0,0,
g883[IL],Y,N,0,0,
II6064,N,N,1,0,
II6065,N,N,1,0,
II6066,N,N,1,0,
g2294,N,N,1,0,
g840[IL],Y,N,0,0,
II6273,N,N,1,0,
II6274,N,N,1,0,
II6275,N,N,1,0,
g2395,N,N,1,0,
II7233,N,N,1,1,
g3760,N,N,1,1,
g4344,N,N,1,0,
g4335,N,N,1,0,
g4328,N,N,1,0,
g4714,N,N,1,1,
g5286,N,N,1,1,
g778[IL],Y,N,0,0,
g1695,N,N,1,0,
g6056,N,N,1,1,
II11764,N,N,1,1,
g6572,N,N,1,1,
II12418,N,N,1,2,
g6849,N,Y,1,2,
II11648,N,N,1,1,
g6486,N,N,1,1,
II12421,N,N,1,1,
g6850,N,Y,1,1,
g689[IL],Y,N,0,0,
g1831,N,N,1,0,
g3076,N,N,1,0,
II8024,N,N,1,0,
g4153,N,N,1,0,
II8928,N,N,1,0,
g4673,N,N,1,0,
g5627,N,N,1,0,
II11021,N,N,1,1,
g6228,N,N,1,1,
II11596,N,N,1,1,
g6449,N,N,1,1,
II12558,N,N,1,1,
g6895,N,Y,1,1,
g1008,Y,N,0,0,
II12592,N,N,1,0,
g6909,N,Y,1,0,
g944[IL],Y,N,0,0,
g2371,N,N,1,0,
g855[IL],Y,N,0,0,
g1689,N,N,1,0,
g3285,N,N,1,0,
g4413,N,N,1,0,
II9525,N,N,1,0,
g5127,N,N,1,0,
II10125,N,N,1,1,
g5642,N,N,1,1,
II11028,N,N,1,1,
g6231,N,N,1,1,
II11827,N,N,1,1,
g6607,N,N,1,1,
II12810,N,N,1,1,
g7048,N,Y,1,1,
g1405[IL],Y,N,0,0,
g1412[IL],Y,N,0,0,
g2474,N,N,1,0,
g3340,N,N,1,0,
g4279,N,N,1,0,
II9543,N,N,1,0,
g5139,N,N,1,0,
II10160,N,N,1,0,
g5671,N,N,1,1,
II11069,N,N,1,1,
g6256,N,N,1,1,
II11586,N,N,1,1,
g6441,N,N,1,1,
II12826,N,N,1,1,
g7063,N,Y,1,1,
II12687,N,N,1,1,
g6962,N,N,1,1,
II12897,N,N,1,1,
g7103,N,Y,1,1,
g7[IL],Y,N,0,0,
II6214,N,N,1,0,
g2372,N,N,1,0,
g3577,N,N,1,0,
II8215,N,N,1,0,
g4273,N,N,1,0,
II9416,N,N,1,0,
g5058,N,N,1,0,
g5439,N,N,1,1,
II10587,N,N,1,1,
g5971,N,N,1,1,
g52[IL],Y,N,0,0,
II5901,N,N,1,0,
g2162,N,N,1,0,
g86[IL],Y,N,0,0,
II5894,N,N,1,0,
g2149,N,N,1,0,
g83[IL],Y,N,0,0,
II5889,N,N,1,0,
g2137,N,N,1,0,
g80[IL],Y,N,0,0,
II5883,N,N,1,0,
g2106,N,N,1,0,
II8063,N,N,1,1,
g77[IL],Y,N,0,0,
g1876,N,N,1,0,
II6930,N,N,1,0,
g3316,N,N,1,0,
g74[IL],Y,N,0,0,
g1869,N,N,1,0,
II6911,N,N,1,0,
g3287,N,N,1,0,
g71[IL],Y,N,0,0,
g1866,N,N,1,0,
II6900,N,N,1,0,
g3264,N,N,1,0,
g68[IL],Y,N,0,0,
II5842,N,N,1,0,
g1987,N,N,1,0,
II8064,N,N,1,1,
g4176,N,N,1,1,
g58[IL],Y,N,0,0,
II5605,N,N,1,0,
g1760,N,N,1,0,
g4779,N,N,1,1,
II9791,N,N,1,1,
g5269,N,N,1,1,
g6472,N,N,1,2,
II12684,N,N,1,2,
g6961,N,N,1,2,
II13039,N,N,1,2,
g7155,N,N,1,2,
II13281,N,N,1,2,
g7283,N,Y,1,2,
g6[IL],Y,N,0,0,
II6183,N,N,1,0,
g2361,N,N,1,0,
g3560,N,N,1,0,
II8202,N,N,1,0,
g4266,N,N,1,0,
II9393,N,N,1,0,
g5041,N,N,1,0,
g5437,N,N,1,1,
II10582,N,N,1,1,
g5956,N,N,1,1,
g6467,N,N,1,2,
II12690,N,N,1,2,
g6963,N,N,1,2,
II13042,N,N,1,2,
g7156,N,N,1,2,
II13284,N,N,1,2,
g7284,N,Y,1,2,
g5[IL],Y,N,0,0,
II6148,N,N,1,0,
g2344,N,N,1,0,
g3545,N,N,1,0,
II8190,N,N,1,0,
g4257,N,N,1,0,
II9360,N,N,1,0,
g5024,N,N,1,0,
g5433,N,N,1,1,
II10579,N,N,1,1,
g5939,N,N,1,1,
g6476,N,N,1,2,
II12666,N,N,1,2,
g6955,N,N,1,2,
II13045,N,N,1,2,
g7157,N,N,1,2,
II13287,N,N,1,2,
g7285,N,Y,1,2,
g4[IL],Y,N,0,0,
II6112,N,N,1,0,
g2323,N,N,1,0,
g3529,N,N,1,0,
II8180,N,N,1,0,
g4251,N,N,1,0,
II9341,N,N,1,0,
g5013,N,N,1,0,
g5426,N,N,1,1,
II10574,N,N,1,1,
g5918,N,N,1,1,
g6477,N,N,1,2,
II12669,N,N,1,2,
g6956,N,N,1,2,
II13048,N,N,1,2,
g7158,N,N,1,2,
II13290,N,N,1,2,
g7286,N,Y,1,2,
g2[IL],Y,N,0,0,
II6075,N,N,1,0,
g2306,N,N,1,0,
g3524,N,N,1,0,
II8172,N,N,1,0,
g4245,N,N,1,0,
II9333,N,N,1,0,
g5006,N,N,1,0,
g5417,N,N,1,1,
II10569,N,N,1,1,
g5897,N,N,1,1,
g6503,N,N,1,2,
II12696,N,N,1,2,
g6967,N,N,1,2,
II13051,N,N,1,2,
g7159,N,N,1,2,
II13293,N,N,1,2,
g7287,N,Y,1,2,
g3[IL],Y,N,0,0,
II6033,N,N,1,0,
g2283,N,N,1,0,
g3517,N,N,1,0,
II8161,N,N,1,0,
g4242,N,N,1,0,
II9325,N,N,1,0,
g5000,N,N,1,0,
g5402,N,N,1,1,
II10565,N,N,1,1,
g5874,N,N,1,1,
g6504,N,N,1,2,
II12699,N,N,1,2,
g6968,N,N,1,2,
II13057,N,N,1,2,
g7161,N,N,1,2,
II13296,N,N,1,2,
g7288,N,Y,1,2,
g48[IL],Y,N,0,0,
II5535,N,N,1,0,
g1688,N,N,1,0,
g2824,N,N,1,0,
II8486,N,N,1,0,
g4464,N,N,1,0,
II8971,N,N,1,0,
g4692,N,N,1,0,
g5396,N,N,1,1,
II10552,N,N,1,1,
g5847,N,N,1,1,
g6482,N,N,1,2,
II12708,N,N,1,2,
g6973,N,N,1,2,
II13063,N,N,1,2,
g7163,N,N,1,2,
II13299,N,N,1,2,
g7289,N,Y,1,2,
g8[IL],Y,N,0,0,
II6239,N,N,1,0,
g2379,N,N,1,0,
g3588,N,N,1,0,
II8233,N,N,1,0,
g4285,N,N,1,0,
II9440,N,N,1,0,
g5074,N,N,1,0,
g5444,N,N,1,1,
II10592,N,N,1,1,
g5988,N,N,1,1,
g6473,N,N,1,2,
II12672,N,N,1,2,
g6957,N,N,1,2,
II13066,N,N,1,2,
g7164,N,N,1,2,
II13302,N,N,1,2,
g7290,N,Y,1,2,
II8052,N,N,1,1,
g1863,N,N,1,0,
II6894,N,N,1,0,
g3238,N,N,1,0,
II8053,N,N,1,1,
g4169,N,N,1,1,
g4778,N,N,1,1,
II9794,N,N,1,1,
g5278,N,N,1,1,
g6497,N,N,1,2,
II12702,N,N,1,2,
g6969,N,N,1,2,
II13072,N,N,1,2,
g7168,N,N,1,2,
II13305,N,N,1,2,
g7291,N,Y,1,2,
g6510,N,N,1,2,
II12675,N,N,1,2,
g6958,N,N,1,2,
II13075,N,N,1,2,
g7169,N,N,1,2,
II13308,N,N,1,2,
g7292,N,Y,1,2,
g6516,N,N,1,2,
II12678,N,N,1,2,
g6959,N,N,1,2,
II13060,N,N,1,2,
g7162,N,N,1,2,
II13311,N,N,1,2,
g7293,N,Y,1,2,
g6469,N,N,1,2,
II12681,N,N,1,2,
g6960,N,N,1,2,
II13054,N,N,1,2,
g7160,N,N,1,2,
II13314,N,N,1,2,
g7294,N,Y,1,2,
g6463,N,N,1,2,
II12782,N,N,1,2,
g7024,N,N,1,2,
II13147,N,N,1,2,
g7211,N,N,1,2,
II13317,N,N,1,2,
g7295,N,Y,1,2,
II13084,N,N,1,1,
g7176,N,N,1,1,
II13326,N,N,1,1,
g7298,N,Y,1,2,
g1167[IL],Y,N,0,0,
II13544,N,N,1,0,
g7423,N,Y,1,0,
g1170[IL],Y,N,0,0,
II13547,N,N,1,0,
g7424,N,Y,1,0,
g1173[IL],Y,N,0,0,
II13550,N,N,1,0,
g7425,N,Y,1,0,
g65[IL],Y,N,0,0,
g62[IL],Y,N,0,0,
g2521,N,N,1,0,
g3654,N,N,1,0,
II8196,N,N,1,0,
g4259,N,N,1,0,
g45[IL],Y,N,0,0,
g2484,N,N,1,0,
II7118,N,N,1,0,
g3642,N,N,1,0,
II7662,N,N,1,0,
g3957,N,N,1,0,
II9484,N,N,1,0,
g5100,N,N,1,0,
g5418,N,N,1,1,
II11129,N,N,1,1,
g6278,N,N,1,1,
II11987,N,N,1,1,
g6677,N,N,1,1,
g7079,N,N,1,1,
g4960,N,N,1,0,
II10135,N,N,1,0,
g5652,N,N,1,1,
g7248,N,N,1,1,
II13628,N,N,1,2,
g7474,N,Y,1,2,
II10157,N,N,1,1,
g5670,N,N,1,1,
g6244,N,N,1,1,
g6700,N,N,1,1,
II12877,N,N,1,1,
g7095,N,N,1,1,
II13225,N,N,1,1,
g7261,N,N,1,2,
II13447,N,N,1,2,
g7343,N,N,1,2,
II13692,N,N,1,2,
g7504,N,Y,1,2,
II10172,N,N,1,1,
g5679,N,N,1,1,
g6250,N,N,1,1,
g6708,N,N,1,1,
II12547,N,N,1,1,
g6892,N,N,1,1,
II13228,N,N,1,1,
g7262,N,N,1,2,
II13451,N,N,1,2,
g7345,N,N,1,2,
II13695,N,N,1,2,
g7505,N,Y,1,2,
II10180,N,N,1,1,
g5683,N,N,1,1,
g6254,N,N,1,1,
g6720,N,N,1,1,
II12564,N,N,1,1,
g6897,N,N,1,1,
II13231,N,N,1,1,
g7263,N,N,1,2,
II13460,N,N,1,2,
g7348,N,N,1,2,
II13698,N,N,1,2,
g7506,N,Y,1,2,
II10186,N,N,1,1,
g5685,N,N,1,1,
g6257,N,N,1,1,
g6721,N,N,1,1,
II12567,N,N,1,1,
g6898,N,N,1,1,
II13234,N,N,1,1,
g7264,N,N,1,2,
II13463,N,N,1,2,
g7349,N,N,1,2,
II13701,N,N,1,2,
g7507,N,Y,1,2,
II10193,N,N,1,1,
g5688,N,N,1,1,
g6263,N,N,1,1,
g6729,N,N,1,1,
II12571,N,N,1,1,
g6900,N,N,1,1,
II13238,N,N,1,1,
g7266,N,N,1,2,
II13472,N,N,1,2,
g7352,N,N,1,2,
II13704,N,N,1,2,
g7508,N,Y,1,2,
g6977,N,N,1,1,
g7252,N,N,1,1,
II13583,N,N,1,1,
g7442,N,N,1,1,
II13722,N,N,1,1,
g7514,N,Y,1,2,
II10965,N,N,1,1,
g6208,N,N,1,1,
g6644,N,N,1,1,
g7057,N,N,1,1,
II13255,N,N,1,1,
g7273,N,N,1,2,
II13613,N,N,1,2,
g7455,N,N,1,2,
II13816,N,N,1,2,
g7544,N,N,1,2,
II14058,N,N,1,2,
g7729,N,Y,1,2,
II10976,N,N,1,1,
g6213,N,N,1,1,
g6650,N,N,1,1,
g7061,N,N,1,1,
II13264,N,N,1,1,
g7276,N,N,1,2,
II13617,N,N,1,2,
g7459,N,N,1,2,
II13822,N,N,1,2,
g7546,N,N,1,2,
II14061,N,N,1,2,
g7730,N,Y,1,2,
II11040,N,N,1,1,
g6237,N,N,1,1,
g6683,N,N,1,1,
g7078,N,N,1,1,
II13277,N,N,1,1,
g7281,N,N,1,2,
II13649,N,N,1,2,
g7487,N,N,1,2,
II13846,N,N,1,2,
g7556,N,N,1,2,
II14064,N,N,1,2,
g7731,N,Y,1,2,
II11011,N,N,1,1,
g6224,N,N,1,1,
g6658,N,N,1,1,
g7067,N,N,1,1,
II13271,N,N,1,1,
g7279,N,N,1,1,
II13622,N,N,1,2,
g7466,N,N,1,2,
II13834,N,N,1,2,
g7550,N,N,1,2,
II14067,N,N,1,2,
g7732,N,Y,1,2,
II11929,N,N,1,1,
g6649,N,N,1,1,
g7058,N,N,1,1,
g7256,N,N,1,1,
II13676,N,N,1,1,
g7500,N,N,1,2,
II14025,N,N,1,2,
g7716,N,N,1,2,
II14257,N,N,1,2,
g7835,N,N,1,2,
II14427,N,N,1,2,
g8216,N,Y,1,2,
II11942,N,N,1,1,
g6654,N,N,1,1,
g7060,N,N,1,1,
g7259,N,N,1,1,
II13679,N,N,1,1,
g7501,N,N,1,2,
II14028,N,N,1,2,
g7717,N,N,1,2,
II14260,N,N,1,2,
g7836,N,N,1,2,
II14430,N,N,1,2,
g8217,N,Y,1,2,
II11559,N,N,1,1,
g6426,N,N,1,1,
g6904,N,N,1,1,
g7147,N,N,1,1,
II13454,N,N,1,1,
g7346,N,N,1,2,
II13794,N,N,1,2,
g7538,N,N,1,2,
II14330,N,N,1,2,
g8061,N,N,1,2,
II14433,N,N,1,2,
g8218,N,Y,1,2,
II11984,N,N,1,1,
g6676,N,N,1,1,
g7077,N,N,1,1,
g7265,N,N,1,1,
II13362,N,N,1,2,
g7310,N,N,1,2,
II14035,N,N,1,2,
g7720,N,N,1,2,
II14276,N,N,1,2,
g7904,N,N,1,2,
II14436,N,N,1,2,
g8219,N,Y,1,2,
g1033[IL],Y,N,0,0,
g2396,N,N,1,0,
g6131,N,N,1,1,
