NODE,PI?,PO?,NODE DELAY,NODE LABEL
U9613,N,N,1,11,
SO_19_,N,Y,1,11,
U11482,N,N,1,0,
U11481,N,N,1,0,
U11483,N,N,1,0,
U11485,N,N,1,10,
U11480,N,N,1,0,
U11479,N,N,1,0,
U11484,N,N,1,10,
U9812,N,N,1,10,
SO_18_,N,Y,1,10,
U9665,N,N,1,0,
U11489,N,N,1,0,
U11488,N,N,1,0,
U11490,N,N,1,0,
U11492,N,N,1,9,
U11487,N,N,1,0,
U11486,N,N,1,0,
U11491,N,N,1,9,
U9813,N,N,1,10,
SO_17_,N,Y,1,10,
U9662,N,N,1,0,
U11496,N,N,1,0,
U11495,N,N,1,0,
U11497,N,N,1,0,
U11499,N,N,1,9,
U11494,N,N,1,0,
U11493,N,N,1,0,
U11498,N,N,1,9,
U9814,N,N,1,9,
SO_16_,N,Y,1,9,
U9659,N,N,1,0,
U11503,N,N,1,0,
U11502,N,N,1,0,
U11504,N,N,1,0,
U11506,N,N,1,8,
U11501,N,N,1,0,
U11500,N,N,1,0,
U11505,N,N,1,8,
U9815,N,N,1,9,
SO_15_,N,Y,1,9,
U9656,N,N,1,0,
U11510,N,N,1,0,
U11509,N,N,1,0,
U11511,N,N,1,0,
U11513,N,N,1,8,
U11508,N,N,1,0,
U11507,N,N,1,0,
U11512,N,N,1,8,
U9816,N,N,1,8,
SO_14_,N,Y,1,8,
U9653,N,N,1,0,
U11517,N,N,1,0,
U11516,N,N,1,0,
U11518,N,N,1,0,
U11520,N,N,1,7,
U11515,N,N,1,0,
U11514,N,N,1,0,
U11519,N,N,1,7,
U9817,N,N,1,7,
SO_13_,N,Y,1,7,
U9650,N,N,1,0,
U11524,N,N,1,0,
U11523,N,N,1,0,
U11525,N,N,1,0,
U11527,N,N,1,7,
U11522,N,N,1,0,
U11521,N,N,1,0,
U11526,N,N,1,6,
U9818,N,N,1,7,
SO_12_,N,Y,1,7,
U9647,N,N,1,0,
U11531,N,N,1,0,
U11530,N,N,1,0,
U11532,N,N,1,0,
U11534,N,N,1,6,
U11529,N,N,1,0,
U11528,N,N,1,0,
U11533,N,N,1,6,
U9819,N,N,1,6,
SO_11_,N,Y,1,6,
U9644,N,N,1,0,
U11538,N,N,1,0,
U11537,N,N,1,0,
U11539,N,N,1,0,
U11541,N,N,1,5,
U11536,N,N,1,0,
U11535,N,N,1,0,
U11540,N,N,1,5,
U9820,N,N,1,6,
SO_10_,N,Y,1,6,
U9639,N,N,1,0,
U11419,N,N,1,0,
U11418,N,N,1,0,
U11420,N,N,1,0,
U11422,N,N,1,5,
U11417,N,N,1,0,
U11416,N,N,1,0,
U11421,N,N,1,5,
U9804,N,N,1,5,
SO_9_,N,Y,1,5,
U9637,N,N,1,0,
U11426,N,N,1,0,
U11425,N,N,1,0,
U11427,N,N,1,0,
U11429,N,N,1,4,
U11424,N,N,1,0,
U11423,N,N,1,0,
U11428,N,N,1,4,
U9805,N,N,1,5,
SO_8_,N,Y,1,5,
U9634,N,N,1,0,
U11433,N,N,1,0,
U11432,N,N,1,0,
U11434,N,N,1,0,
U11436,N,N,1,4,
U11431,N,N,1,0,
U11430,N,N,1,0,
U11435,N,N,1,4,
U9806,N,N,1,4,
SO_7_,N,Y,1,4,
U9631,N,N,1,0,
U11440,N,N,1,0,
U11439,N,N,1,0,
U11441,N,N,1,0,
U11443,N,N,1,3,
U11438,N,N,1,0,
U11437,N,N,1,0,
U11442,N,N,1,3,
U9807,N,N,1,3,
SO_6_,N,Y,1,3,
U9628,N,N,1,0,
U11447,N,N,1,0,
U11446,N,N,1,0,
U11448,N,N,1,0,
U11450,N,N,1,3,
U11445,N,N,1,0,
U11444,N,N,1,0,
U11449,N,N,1,2,
U9808,N,N,1,3,
SO_5_,N,Y,1,3,
U9625,N,N,1,0,
U11454,N,N,1,0,
U11453,N,N,1,0,
U11455,N,N,1,0,
U11457,N,N,1,2,
U11452,N,N,1,0,
U11451,N,N,1,0,
U11456,N,N,1,2,
U9809,N,N,1,2,
SO_4_,N,Y,1,2,
U9622,N,N,1,0,
U11461,N,N,1,0,
U11460,N,N,1,0,
U11462,N,N,1,0,
U11464,N,N,1,1,
U11459,N,N,1,0,
U11458,N,N,1,0,
U11463,N,N,1,1,
U9810,N,N,1,2,
SO_3_,N,Y,1,2,
U9619,N,N,1,0,
U11468,N,N,1,0,
U11467,N,N,1,0,
U11469,N,N,1,0,
U11471,N,N,1,1,
U11466,N,N,1,0,
U11465,N,N,1,0,
U11470,N,N,1,1,
U9811,N,N,1,1,
SO_2_,N,Y,1,1,
U9615,N,N,1,0,
U11473,N,N,1,0,
U11472,N,N,1,0,
U11474,N,N,1,1,
U11476,N,N,1,1,
U11475,N,N,1,0,
U2255,N,N,1,1,
U9612,N,N,1,1,
SO_1_,N,Y,1,1,
U9614,N,N,1,0,
U2254,N,N,1,0,
U11542,N,N,1,0,
U9803,N,N,1,0,
SO_0_,N,Y,1,0,
P2_RD_REG[IL],Y,N,0,0,
P1_RD_REG[IL],Y,N,0,0,
U2632,N,N,1,0,
U2563,N,N,1,0,
U2564,N,N,1,0,
U3556,N,N,1,0,
RD,N,Y,1,0,
P1_WR_REG[IL],Y,N,0,0,
U9971,N,N,1,0,
P2_WR_REG[IL],Y,N,0,0,
U2253,N,N,1,0,
U11415,N,N,1,0,
U9972,N,N,1,0,
WR,N,Y,1,0,
P1_IR_REG_0_[IL],Y,N,0,0,
P1_STATE_REG[IL],Y,N,0,0,
P1_IR_REG_31_[IL],Y,N,0,0,
U3420,N,N,1,0,
U9802,N,N,1,0,
U9801,N,N,1,0,
U11410,N,N,1,0,
U11411,N,N,1,0,
U9501,N,N,1,0,
P2_DATAO_REG_0_[IL],Y,N,0,0,
SI_0_,Y,N,0,0,
U4112,N,N,1,0,
U8524,N,N,1,0,
U2053,N,N,1,0,
U8525,N,N,1,0,
U2631,N,N,1,0,
U2562,N,N,1,0,
U2559,N,N,1,0,
U2561,N,N,1,0,
U8527,N,N,1,1,
U2560,N,N,1,0,
U8526,N,N,1,1,
U8528,N,N,1,1,
U8381,N,N,1,1,
U3362,N,N,1,1,
U3362[OL],N,Y,1,1,
U2357,N,N,1,1,
P2_DATAO_REG_1_[IL],Y,N,0,0,
SI_1_,Y,N,0,0,
U421,N,N,1,1,
P1_DATAO_REG_1_[IL],Y,N,0,0,
U420,N,N,1,1,
U2659,N,N,1,1,
U5412,N,N,1,1,
U4124,N,N,1,0,
U5413,N,N,1,1,
U4125,N,N,1,1,
U5206,N,N,1,1,
U462,N,N,1,1,
P1_DATAO_REG_0_[IL],Y,N,0,0,
U461,N,N,1,1,
U2729,N,N,1,1,
U5359,N,N,1,1,
U2251,N,N,1,2,
U8517,N,N,1,2,
U8518,N,N,1,2,
U8380,N,N,1,2,
U9992,N,N,1,0,
P1_IR_REG_1_[IL],Y,N,0,0,
U11409,N,N,1,0,
U9993,N,N,1,0,
U3237,N,N,1,0,
U12292,N,N,1,0,
U5207,N,N,1,0,
U6821,N,N,1,0,
U3686,N,N,1,0,
U11407,N,N,1,1,
U3953,N,N,1,1,
U11408,N,N,1,1,
U5196,N,N,1,1,
U3386,N,N,1,2,
U3386[OL],N,Y,1,2,
P2_DATAO_REG_2_[IL],Y,N,0,0,
U8441,N,N,1,1,
P1_DATAO_REG_2_[IL],Y,N,0,0,
U8440,N,N,1,1,
U4766,N,N,1,1,
SI_2_,Y,N,0,0,
U4123,N,N,1,0,
U8536,N,N,1,1,
U831,N,N,1,1,
U5463,N,N,1,1,
U1328,N,N,1,2,
U5414,N,N,1,1,
U553,N,N,1,1,
U463,N,N,1,1,
U2892,N,N,1,1,
U405,N,N,1,1,
U4902,N,N,1,1,
U5462,N,N,1,2,
U8379,N,N,1,2,
P1_IR_REG_2_[IL],Y,N,0,0,
U11406,N,N,1,0,
U10633,N,N,1,0,
U10634,N,N,1,0,
U9715,N,N,1,0,
U11404,N,N,1,1,
U11405,N,N,1,1,
U5195,N,N,1,1,
U4033,N,N,1,2,
U4033[OL],N,Y,1,2,
P1_IR_REG_3_[IL],Y,N,0,0,
U11403,N,N,1,0,
U11414,N,N,1,0,
U9748,N,N,1,0,
U12291,N,N,1,0,
U12290,N,N,1,0,
U11401,N,N,1,1,
P2_DATAO_REG_3_[IL],Y,N,0,0,
U11402,N,N,1,1,
U8438,N,N,1,1,
P1_DATAO_REG_3_[IL],Y,N,0,0,
U8437,N,N,1,1,
U4765,N,N,1,1,
SI_3_,Y,N,0,0,
U4126,N,N,1,0,
U8513,N,N,1,1,
U2644,N,N,1,1,
U8512,N,N,1,1,
U8514,N,N,1,1,
U5442,N,N,1,2,
U5443,N,N,1,2,
U5444,N,N,1,2,
U8515,N,N,1,1,
U1330,N,N,1,2,
U2926,N,N,1,2,
U3383,N,N,1,2,
U9556,N,N,1,2,
U9556[OL],N,Y,1,2,
P2_DATAO_REG_4_[IL],Y,N,0,0,
SI_4_,Y,N,0,0,
U477,N,N,1,1,
P1_DATAO_REG_4_[IL],Y,N,0,0,
U476,N,N,1,1,
U2761,N,N,1,1,
U5416,N,N,1,1,
U840,N,N,1,1,
U8406,N,N,1,2,
U5411,N,N,1,1,
U5415,N,N,1,2,
U5209,N,N,1,2,
U8445,N,N,1,1,
U8444,N,N,1,1,
U4769,N,N,1,1,
U2052,N,N,1,1,
U828,N,N,1,2,
U4127,N,N,1,0,
U8539,N,N,1,1,
U2051,N,N,1,1,
U829,N,N,1,2,
U3025,N,N,1,2,
U8378,N,N,1,2,
P1_IR_REG_4_[IL],Y,N,0,0,
U2249,N,N,1,0,
U2250,N,N,1,0,
U10635,N,N,1,0,
U10636,N,N,1,1,
U8377,N,N,1,1,
U11400,N,N,1,0,
U11399,N,N,1,1,
U5194,N,N,1,1,
U4060,N,N,1,2,
U4060[OL],N,Y,1,3,
U1324,N,N,1,2,
P2_DATAO_REG_5_[IL],Y,N,0,0,
U8443,N,N,1,1,
P1_DATAO_REG_5_[IL],Y,N,0,0,
U8442,N,N,1,1,
U4768,N,N,1,1,
SI_5_,Y,N,0,0,
U2429,N,N,1,1,
U2430,N,N,1,2,
U2433,N,N,1,1,
U1323,N,N,1,2,
U4128,N,N,1,0,
U2432,N,N,1,1,
U2050,N,N,1,1,
U2620,N,N,1,2,
U1325,N,N,1,2,
U2802,N,N,1,3,
U8376,N,N,1,3,
U11397,N,N,1,1,
P1_IR_REG_5_[IL],Y,N,0,0,
U11398,N,N,1,0,
U9745,N,N,1,0,
U12289,N,N,1,1,
U3692,N,N,1,1,
U11396,N,N,1,1,
U5193,N,N,1,1,
U3977,N,N,1,3,
U3977[OL],N,Y,1,3,
P2_DATAO_REG_6_[IL],Y,N,0,0,
U11394,N,N,1,1,
P1_IR_REG_6_[IL],Y,N,0,0,
U11395,N,N,1,0,
U9740,N,N,1,0,
U9735,N,N,1,1,
U10631,N,N,1,1,
U10632,N,N,1,1,
U11393,N,N,1,1,
U479,N,N,1,1,
U478,N,N,1,1,
U1336,N,N,1,1,
U2428,N,N,1,2,
U485,N,N,1,2,
U2774,N,N,1,2,
U2773,N,N,1,2,
U2772,N,N,1,2,
SI_6_,Y,N,0,0,
U366,N,N,1,1,
P1_DATAO_REG_6_[IL],Y,N,0,0,
U365,N,N,1,1,
U1767,N,N,1,1,
U2417,N,N,1,0,
U8447,N,N,1,1,
U8446,N,N,1,1,
U400,N,N,1,1,
U2435,N,N,1,1,
U5514,N,N,1,3,
U2434,N,N,1,1,
U2621,N,N,1,2,
U4151,N,N,1,2,
U5878,N,N,1,2,
U2789,N,N,1,3,
U4057,N,N,1,3,
U9557,N,N,1,3,
U9557[OL],N,Y,1,3,
P2_DATAO_REG_7_[IL],Y,N,0,0,
U2565,N,N,1,1,
P1_DATAO_REG_7_[IL],Y,N,0,0,
U2421,N,N,1,1,
U2422,N,N,1,1,
SI_7_,Y,N,0,0,
U2419,N,N,1,0,
U2420,N,N,1,1,
U2049,N,N,1,1,
U2436,N,N,1,2,
U1320,N,N,1,3,
U2418,N,N,1,1,
U2431,N,N,1,1,
U5504,N,N,1,2,
U2423,N,N,1,1,
U1321,N,N,1,2,
U1536,N,N,1,2,
U2619,N,N,1,2,
U2445,N,N,1,2,
U480,N,N,1,3,
U8375,N,N,1,3,
P1_IR_REG_7_[IL],Y,N,0,0,
U5531,N,N,1,1,
U12288,N,N,1,1,
U8374,N,N,1,1,
U11392,N,N,1,0,
U2567,N,N,1,1,
U1358,N,N,1,1,
U4031,N,N,1,3,
U4031[OL],N,Y,1,3,
SI_8_,Y,N,0,0,
P2_DATAO_REG_8_[IL],Y,N,0,0,
U8449,N,N,1,1,
P1_DATAO_REG_8_[IL],Y,N,0,0,
U8448,N,N,1,1,
U4770,N,N,1,1,
U4122,N,N,1,1,
U8450,N,N,1,1,
U4121,N,N,1,0,
U5534,N,N,1,1,
U2427,N,N,1,2,
U4767,N,N,1,1,
U1335,N,N,1,1,
U492,N,N,1,2,
U2438,N,N,1,2,
U826,N,N,1,3,
U8546,N,N,1,1,
U8545,N,N,1,1,
U2437,N,N,1,2,
U827,N,N,1,3,
U3016,N,N,1,3,
U8373,N,N,1,3,
U2048,N,N,1,0,
P1_IR_REG_8_[IL],Y,N,0,0,
U2248,N,N,1,1,
U5532,N,N,1,1,
U8372,N,N,1,1,
U11391,N,N,1,0,
U11390,N,N,1,1,
U1359,N,N,1,1,
U4024,N,N,1,3,
U4024[OL],N,Y,1,3,
SI_9_,Y,N,0,0,
P2_DATAO_REG_9_[IL],Y,N,0,0,
U8452,N,N,1,1,
P1_DATAO_REG_9_[IL],Y,N,0,0,
U8451,N,N,1,1,
U1903,N,N,1,1,
U1904,N,N,1,1,
U2047,N,N,1,1,
U2446,N,N,1,0,
U2444,N,N,1,1,
U5410,N,N,1,1,
U4155,N,N,1,2,
U2046,N,N,1,2,
U5547,N,N,1,3,
U5548,N,N,1,3,
U2447,N,N,1,1,
U2443,N,N,1,1,
U5545,N,N,1,1,
U5546,N,N,1,3,
U1318,N,N,1,3,
U2758,N,N,1,3,
U8370,N,N,1,3,
U5530,N,N,1,1,
P1_IR_REG_9_[IL],Y,N,0,0,
U5312,N,N,1,0,
U9467,N,N,1,1,
U9466,N,N,1,1,
U8371,N,N,1,1,
U11389,N,N,1,0,
U11388,N,N,1,1,
U5192,N,N,1,1,
U4026,N,N,1,3,
U4026[OL],N,Y,1,3,
P1_IR_REG_10_[IL],Y,N,0,0,
U9716,N,N,1,0,
U2045,N,N,1,1,
U5333,N,N,1,0,
U6900,N,N,1,1,
U1201,N,N,1,1,
U3704,N,N,1,1,
U11386,N,N,1,1,
U11387,N,N,1,0,
U5191,N,N,1,1,
U1828,N,N,1,1,
U2442,N,N,1,1,
U2441,N,N,1,2,
U2439,N,N,1,2,
U2440,N,N,1,2,
P2_DATAO_REG_10_[IL],Y,N,0,0,
U8454,N,N,1,1,
P1_DATAO_REG_10_[IL],Y,N,0,0,
U8453,N,N,1,1,
U4764,N,N,1,1,
U8455,N,N,1,1,
SI_10_,Y,N,0,0,
U3519,N,N,1,0,
U5417,N,N,1,1,
U2618,N,N,1,2,
U847,N,N,1,3,
U2576,N,N,1,3,
U5409,N,N,1,1,
U2687,N,N,1,1,
U2686,N,N,1,3,
U11555,N,N,1,1,
U11554,N,N,1,1,
U390,N,N,1,2,
U5573,N,N,1,3,
U5572,N,N,1,2,
U4910,N,N,1,3,
U3198,N,N,1,3,
U8559,N,N,1,3,
U8558,N,N,1,1,
U8560,N,N,1,3,
U8369,N,N,1,4,
U3361,N,N,1,4,
U3361[OL],N,Y,1,4,
P2_DATAO_REG_11_[IL],Y,N,0,0,
U8459,N,N,1,1,
P1_DATAO_REG_11_[IL],Y,N,0,0,
U8458,N,N,1,1,
U4763,N,N,1,1,
SI_11_,Y,N,0,0,
U4119,N,N,1,0,
U8554,N,N,1,1,
U8460,N,N,1,1,
U8553,N,N,1,1,
U825,N,N,1,3,
U8551,N,N,1,1,
U8550,N,N,1,1,
U8552,N,N,1,1,
U509,N,N,1,3,
U2044,N,N,1,2,
U2821,N,N,1,3,
U2837,N,N,1,3,
U8368,N,N,1,3,
P1_IR_REG_11_[IL],Y,N,0,0,
U1526,N,N,1,1,
U10628,N,N,1,1,
U8367,N,N,1,1,
U11385,N,N,1,0,
U11384,N,N,1,1,
U1360,N,N,1,1,
U4046,N,N,1,3,
U4046[OL],N,Y,1,4,
P2_DATAO_REG_12_[IL],Y,N,0,0,
U11382,N,N,1,1,
P1_IR_REG_12_[IL],Y,N,0,0,
U11383,N,N,1,0,
U5565,N,N,1,1,
U9724,N,N,1,0,
U12287,N,N,1,1,
U3708,N,N,1,1,
U11381,N,N,1,1,
U5212,N,N,1,3,
SI_12_,Y,N,0,0,
U8464,N,N,1,1,
P1_DATAO_REG_12_[IL],Y,N,0,0,
U8463,N,N,1,1,
U4762,N,N,1,1,
U4120,N,N,1,1,
U2748,N,N,1,1,
U823,N,N,1,3,
U718,N,N,1,3,
U3264,N,N,1,1,
U3263,N,N,1,3,
U4913,N,N,1,1,
U5594,N,N,1,3,
U4165,N,N,1,3,
U4164,N,N,1,1,
U824,N,N,1,3,
U2247,N,N,1,3,
U3164,N,N,1,4,
U4092,N,N,1,4,
U9558,N,N,1,4,
U9558[OL],N,Y,1,4,
P2_DATAO_REG_13_[IL],Y,N,0,0,
U11377,N,N,1,1,
P1_IR_REG_13_[IL],Y,N,0,0,
U11379,N,N,1,0,
U9980,N,N,1,1,
U11924,N,N,1,1,
U5810,N,N,1,1,
U2302,N,N,1,1,
U11380,N,N,1,1,
U5406,N,N,1,1,
U8462,N,N,1,1,
P1_DATAO_REG_13_[IL],Y,N,0,0,
U8461,N,N,1,1,
U2795,N,N,1,1,
U2587,N,N,1,1,
SI_13_,Y,N,0,0,
U2585,N,N,1,0,
U2586,N,N,1,1,
U8654,N,N,1,1,
U2393,N,N,1,2,
U8400,N,N,1,2,
U841,N,N,1,3,
U474,N,N,1,1,
U3127,N,N,1,1,
U2588,N,N,1,1,
U4926,N,N,1,2,
U8412,N,N,1,3,
U8413,N,N,1,3,
U5725,N,N,1,3,
U3167,N,N,1,4,
U11378,N,N,1,4,
U9559,N,N,1,4,
U9559[OL],N,Y,1,4,
U5408,N,N,1,1,
U2787,N,N,1,2,
U1902,N,N,1,2,
U501,N,N,1,2,
U2584,N,N,1,1,
U2583,N,N,1,2,
U376,N,N,1,1,
U2581,N,N,1,2,
U564,N,N,1,3,
U836,N,N,1,3,
P2_DATAO_REG_14_[IL],Y,N,0,0,
U8457,N,N,1,1,
P1_DATAO_REG_14_[IL],Y,N,0,0,
U8456,N,N,1,1,
U4761,N,N,1,1,
SI_14_,Y,N,0,0,
U2577,N,N,1,1,
U5407,N,N,1,1,
U1307,N,N,1,3,
U8415,N,N,1,3,
U5715,N,N,1,1,
U835,N,N,1,3,
U2826,N,N,1,4,
U8365,N,N,1,4,
U1523,N,N,1,1,
U5714,N,N,1,1,
P1_IR_REG_14_[IL],Y,N,0,0,
U4309,N,N,1,0,
U9465,N,N,1,1,
U9464,N,N,1,1,
U8366,N,N,1,1,
U11376,N,N,1,0,
U11375,N,N,1,1,
U1361,N,N,1,2,
U4088,N,N,1,4,
U4088[OL],N,Y,1,4,
P2_DATAO_REG_15_[IL],Y,N,0,0,
U8466,N,N,1,1,
P1_DATAO_REG_15_[IL],Y,N,0,0,
U8465,N,N,1,1,
U4771,N,N,1,1,
SI_15_,Y,N,0,0,
U2465,N,N,1,0,
U2579,N,N,1,1,
U2463,N,N,1,1,
U2464,N,N,1,1,
U4693,N,N,1,1,
U4207,N,N,1,2,
U3050,N,N,1,2,
U2582,N,N,1,2,
U2459,N,N,1,2,
U5739,N,N,1,2,
U637,N,N,1,3,
U837,N,N,1,3,
U8650,N,N,1,3,
U8414,N,N,1,3,
U817,N,N,1,3,
U2818,N,N,1,4,
U8364,N,N,1,4,
U11372,N,N,1,1,
P1_IR_REG_15_[IL],Y,N,0,0,
U11373,N,N,1,0,
U1344,N,N,1,1,
U6217,N,N,1,1,
U6218,N,N,1,1,
U2256,N,N,1,1,
U11374,N,N,1,2,
U5190,N,N,1,2,
U4066,N,N,1,4,
U4066[OL],N,Y,1,4,
P2_DATAO_REG_16_[IL],Y,N,0,0,
U8436,N,N,1,1,
P1_DATAO_REG_16_[IL],Y,N,0,0,
U8435,N,N,1,1,
U4760,N,N,1,1,
SI_16_,Y,N,0,0,
U2590,N,N,1,0,
U2591,N,N,1,1,
U2593,N,N,1,1,
U2594,N,N,1,1,
U4931,N,N,1,1,
U2578,N,N,1,1,
U695,N,N,1,2,
U2575,N,N,1,1,
U2574,N,N,1,2,
U2573,N,N,1,2,
U2572,N,N,1,3,
U2580,N,N,1,2,
U2457,N,N,1,3,
U2456,N,N,1,3,
U2391,N,N,1,1,
U2458,N,N,1,2,
U2462,N,N,1,2,
U740,N,N,1,3,
U739,N,N,1,2,
U422,N,N,1,3,
U4201,N,N,1,3,
U8648,N,N,1,4,
U3051,N,N,1,3,
U818,N,N,1,4,
U8649,N,N,1,4,
U8363,N,N,1,4,
U11369,N,N,1,1,
P1_IR_REG_16_[IL],Y,N,0,0,
U11370,N,N,1,0,
U5334,N,N,1,1,
U9719,N,N,1,0,
U11917,N,N,1,1,
U3723,N,N,1,1,
U2301,N,N,1,1,
U11371,N,N,1,2,
U5189,N,N,1,2,
U3379,N,N,1,4,
U3379[OL],N,Y,1,4,
P1_IR_REG_17_[IL],Y,N,0,0,
U11368,N,N,1,0,
U9990,N,N,1,1,
U8360,N,N,1,1,
U12286,N,N,1,1,
U8361,N,N,1,2,
U5188,N,N,1,2,
P2_DATAO_REG_17_[IL],Y,N,0,0,
U8644,N,N,1,1,
U2595,N,N,1,4,
U8433,N,N,1,1,
P1_DATAO_REG_17_[IL],Y,N,0,0,
U8432,N,N,1,1,
U4759,N,N,1,1,
SI_17_,Y,N,0,0,
U4129,N,N,1,0,
U8643,N,N,1,1,
U8434,N,N,1,1,
U8642,N,N,1,1,
U5216,N,N,1,1,
U493,N,N,1,3,
U2592,N,N,1,4,
U611,N,N,1,4,
U5696,N,N,1,1,
U5695,N,N,1,1,
U2589,N,N,1,1,
U407,N,N,1,2,
U2452,N,N,1,1,
U2451,N,N,1,2,
U2450,N,N,1,3,
U2448,N,N,1,3,
U2449,N,N,1,3,
U5405,N,N,1,1,
U1309,N,N,1,4,
U3000,N,N,1,4,
U2999,N,N,1,4,
U8645,N,N,1,4,
U8362,N,N,1,4,
U3363,N,N,1,5,
U3363[OL],N,Y,1,5,
