CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
g6066,7,g5060 g5318 g5467 g5536 g5631 g5824 g6066 
g1721,5,g11[IL] I2218 g1219 I2721 g1721 
g6043,7,g5060 g5318 g5467 g5536 g5631 g5824 g6043 
g6372,3,g6176 I8180 g6372 
g6068,7,g5060 g5318 g5467 g5536 g5631 g5824 g6068 
g1726,5,g15[IL] I2228 g1232 I2728 g1726 
g6033,7,g5060 g5318 g5467 g5536 g5631 g5824 g6033 
g6374,3,g6179 I8186 g6374 
g6077,7,g5060 g5318 g5467 g5536 g5631 g5824 g6077 
g1735,5,g19[IL] I2240 g1249 I2745 g1735 
g6051,7,g5060 g5318 g5467 g5536 g5631 g5824 g6051 
g6728,4,I8840 g6710 I8878 g6728 
g6657,8,g6137 I7999 g6283 g6408 g6515 g6619 I8767 g6657 
g6115,8,g5060 g5318 g5385 g5537 g5645 g5770 g5879 g6115 
g1290,5,g666[IL] I1935 g909 I2275 g1290 
g4121,6,g2935 g3599 I5343 g4040 I5445 g4121 
g2291,6,g567 g839 I2584 g1627 I3434 g2291 
g1788,3,g638[IL] g985 g1788 
g1637,4,g638[IL] g985 I2596 g1637 
g4108,5,g3546 I5252 g3976 I5406 g4108 
g3095,8,g45 g1205 I2805 g1770 I3040 g1935 I4340 g3095 
g4106,5,g3673 I5217 g3963 I5400 g4106 
g3075,8,g42 g1175 I2756 g1742 I2995 g1898 I4306 g3075 
g4103,5,g3589 I5249 g3975 I5391 g4103 
g3094,8,g39 g1204 I2802 g1769 I3037 g1934 I4337 g3094 
g1293,5,g699[IL] I1947 g922 I2284 g1293 
g4099,5,g3267 I5177 g3940 I5379 g4099 
g3030,8,g32 g1117 I2731 g1729 I2955 g1853 I4243 g3030 
g4102,5,g3571 I5233 g3969 I5388 g4102 
g3084,8,g38 g1191 I2773 g1754 I3016 g1917 I4321 g3084 
g4109,5,g3638 I5264 g3980 I5409 g4109 
g3108,8,g46 g1221 I2821 g1776 I3062 g1953 I4354 g3108 
g4100,5,g3271 I5182 g3952 I5382 g4100 
g3042,8,g36 g1118 I2735 g1731 I2961 g1857 I4261 g3042 
g4112,5,g3564 I5337 g4036 I5418 g4112 
g2618,8,g47 g898 I2321 g1322 I3152 g2041 I3758 g2618 
g4105,5,g3593 I5169 g3932 I5397 g4105 
g2997,8,g40 g1115 I2716 g1715 I2943 g1847 I4192 g2997 
g4101,5,g3567 I5214 g3962 I5385 g4101 
g3074,8,g37 g1174 I2753 g1741 I2992 g1897 I4303 g3074 
g4110,5,g3491 I5333 g4034 I5412 g4110 
g4104,5,g3559 I5320 g4016 I5394 g4104 
g4107,5,g3545 I5236 g3970 I5403 g4107 
g3085,8,g44 g1192 I2776 g1755 I3019 g1918 I4324 g3085 
g4098,5,g3557 I5316 g4014 I5376 g4098 
g2598,8,g23 g893 I2296 g1315 I3137 g2030 I3726 g2598 
g4130[OL],6,g3710 I5053 g3846 I5472 g4130 g4130[OL] 
g6823[OL],5,I8972 g6802 I9002 g6823 g6823[OL] 
g6795,8,g6683 g6682 g6716 g6742 I8916 g6746 g6772 g6795 
g4867,2,g4811 g4867 
g4429,7,g2853 g3437 g3819 g4253 g2026 g2936 g4429 
g923,2,g332[IL] g923 
g964,2,g357[IL] g964 
g837,2,g353[IL] g837 
g836,2,g349[IL] g836 
g2021,8,g345[IL] g835 g341[IL] g834 g338[IL] g830 g1436 g2021 
g901,3,g314 g310 g901 
g4432,5,g2853 g3437 g3819 g4253 g4432 
g3872,5,g2008 g2962 I4587 g3312 g3872 
g1784,5,g301 g858 g310 g889 g1784 
g6465,6,g5912 g6237 I8027 g6305 I8329 g6465 
g5853,8,g5060 g5318 I7055 g5391 g5561 I7397 g5638 g5853 
g1589,5,g702 g1059 g699[IL] g1045 g1589 
g1880,5,g662[IL] g1039 g658[IL] g1603 g1880 
g2053,8,g689[IL] I2122 g1094 g698[IL] I2125 g1101 g1675 g2053 
g6622,7,g6211 g6348 g6492 I8515 g6533 I8724 g6622 
g2081,8,g689[IL] I2122 g1094 g698[IL] I2125 g1101 g1546 g2081 
g5992,8,g5060 g5318 g5388 g5541 I7404 g5649 g5869 g5992 
g1734,4,g677[IL] I2029 g952 g1734 
g6621,7,g6211 g6348 g6494 I8518 g6534 I8721 g6621 
g932,2,g337[IL] g932 
g6478,6,g5905 g6252 I8044 g6314 I8342 g6478 
g5852,8,g5060 g5318 I7055 g5391 g5561 I7397 g5638 g5852 
g1661,4,g687[IL] I2115 g1076 g1661 
g6624,7,g6193 g6354 g6495 I8521 g6535 I8730 g6624 
g1529,4,g687[IL] I2115 g1076 g1529 
g5957,8,g5060 g5318 g5388 g5541 I7404 g5649 g5866 g5957 
g1775,4,g677[IL] I2029 g952 g1775 
g6623,7,g6193 g6354 g6496 I8524 g6536 I8727 g6623 
g6940[OL],3,I9233 g6940 g6940[OL] 
g6938,8,g6929 g6931 I9217 g6932 g6934 g6937 I9227 g6938 
g4616,1,g4616 
g4231,7,g3208 g3425 g2577 g2849 g3997 g4000 g4231 
g1250,2,g123[IL] g1250 
g895,2,g139[IL] g895 
g2551,8,g135[IL] g715 g131[IL] g714 g128[IL] g710 g1826 g2551 
g1138,3,g102 g98 g1138 
g3761,5,g2434 g2877 I4802 g3605 g3761 
g1620,5,g89 g1056 g98 g1084 g1620 
g6741,3,g6693 g6705 g6741 
g6618,5,g6461 I8470 g6518 I8716 g6618 
g6353,5,g6097 I7871 g6147 I8113 g6353 
g2954,8,g662[IL] g1039 g658[IL] g913 g1422 I3528 g2381 g2954 
g5857,8,g5060 g5318 I7055 g5391 g5561 I7397 g5638 g5857 
g1552,4,g685[IL] I2057 g1030 g1552 
g1499,7,g698[IL] I2125 g1101 g689[IL] I2122 g1094 g1499 
g1666,4,g688[IL] I2119 g1088 g1666 
g6351,4,I7856 g6136 I8107 g6351 
g5994,8,g5060 g5318 g5388 g5541 I7404 g5649 g5873 g5994 
g1564,4,g685[IL] I2057 g1030 g1564 
g1576,7,g698[IL] I2125 g1101 g689[IL] I2122 g1094 g1576 
g1535,4,g688[IL] I2119 g1088 g1535 
g6617,5,g6461 I8482 g6522 I8713 g6617 
g4835,1,g4835 
g4533,7,g3709 g3203 g3883 I5907 g4404 I6111 g4533 
g2845,7,g658[IL] g971 I2476 g1491 I3675 g2565 g2845 
g2497,7,g683[IL] I2050 g1011 I2668 g1684 I3626 g2497 
g4530,7,g3704 g3195 g3879 I5896 g4399 I6102 g4530 
g2841,7,g658[IL] g971 I2476 g1491 I3659 g2541 g2841 
g2473,7,g682[IL] I2047 g1006 I2663 g1681 I3605 g2473 
g4941,3,g4829 g4832 g4941 
g4526,7,g3701 g3186 g3871 I5882 g4393 I6090 g4526 
g2838,7,g658[IL] g971 I2476 g1491 I3641 g2515 g2838 
g2449,7,g681[IL] I2044 g1001 I2658 g1678 I3584 g2449 
g4522,7,g3693 g3176 g3864 I5868 g4387 I6078 g4522 
g2830,7,g658[IL] g971 I2476 g1491 I3623 g2494 g2830 
g2422,7,g680[IL] I2041 g996 I2653 g1673 I3560 g2422 
g4517,7,g3687 g3161 g3857 I5854 g4381 I6063 g4517 
g2820,7,g658[IL] g971 I2476 g1491 I3602 g2470 g2820 
g2397,7,g679[IL] I2037 g980 I2648 g1670 I3540 g2397 
g4512,7,g3681 g3146 g3851 I5843 g4376 I6048 g4512 
g2806,7,g658[IL] g971 I2476 g1491 I3581 g2446 g2806 
g2370,7,g678[IL] I2033 g965 I2643 g1664 I3522 g2370 
g4536,7,g3375 g2807 g3751 I5913 g4406 I6118 g4536 
g2912,7,g658[IL] g971 I2449 g1439 I3112 g2001 g2912 
g2568,7,g686[IL] I2067 g1037 I2692 g1690 I3678 g2568 
g6927,8,g6915 g6916 g6920 g6912 g6914 g6919 g6924 g6927 
g6799,3,g6749 g6782 g6799 
g4948,3,g4834 g4836 g4948 
g4534,7,g3372 g2794 g3750 I5910 g4405 I6114 g4534 
g2905,7,g658[IL] g971 I2449 g1439 I3105 g1994 g2905 
g2544,7,g685[IL] I2057 g1030 I2688 g1688 I3662 g2544 
g4531,7,g3366 g2782 g3748 I5899 g4400 I6105 g4531 
g2893,7,g658[IL] g971 I2449 g1439 I3096 g1985 g2893 
g2518,7,g684[IL] I2053 g1017 I2671 g1685 I3644 g2518 
g4527,7,g3357 g2771 g3746 I5885 g4394 I6093 g4527 
g2889,7,g658[IL] g971 I2449 g1439 I3086 g1975 g2889 
g4523,7,g3345 g2759 g3744 I5871 g4388 I6081 g4523 
g2886,7,g658[IL] g971 I2449 g1439 I3077 g1966 g2886 
g6719,4,I8778 I8779 g6665 g6719 
g4518,7,g3335 g2747 g3740 I5857 g4382 I6066 g4518 
g2884,7,g658[IL] g971 I2449 g1439 I3068 g1957 g2884 
g6612,7,g6271 g6385 g6451 I8600 g6572 I8702 g6612 
g2955,1,g2955 
g5885,8,g5060 g5318 g5388 g5541 I7404 g5649 g5865 g5885 
g2068,1,g2068 
g1541,4,g689[IL] I2122 g1094 g1541 
g4334,4,g3325 g2733 g3733 g4334 
g2876,7,g658[IL] g971 I2449 g1439 I3050 g1943 g2876 
g4328,4,g3311 g2721 g4092 g4328 
g2872,7,g658[IL] g971 I2449 g1439 I3025 g1922 g2872 
g4314,4,g3302 g2700 g4080 g4314 
g2867,7,g658[IL] g971 I2449 g1439 I3007 g1908 g2867 
g6611,7,g6271 g6385 g6449 I8603 g6573 I8699 g6611 
g6609,7,g6271 g6385 g6446 I8594 g6570 I8693 g6609 
g6607,7,g6271 g6385 g6443 I8588 g6568 I8687 g6607 
g6605,7,g6271 g6385 g6439 I8582 g6566 I8681 g6605 
g6656,7,g6271 g6385 g6436 I8576 g6564 I8764 g6656 
g6654,7,g6271 g6385 g6433 I8570 g6562 I8758 g6654 
g6652,7,g6271 g6385 g6430 I8462 g6514 I8752 g6652 
g6735,7,I8778 I8779 g6665 I8831 g6707 I8897 g6735 
g6734,7,I8778 I8779 g6665 I8837 g6709 I8894 g6734 
g6906,4,I9098 g6877 I9185 g6906 
g6864,8,g6778 I8946 g6786 g6822 g6837 g6847 g6852 g6864 
g5861,6,g5310 I7042 g5382 g5564 g5636 g5861 
g5067,8,I5359 I5360 g4050 g4226 I5991 g4487 g4801 g5067 
g3518,2,g3177 g3518 
I4414,8,g690[IL] I2165 g1123 I2887 g1823 I3206 g2090 I4414 
g3023,6,g634[IL] g852 g1285 I3352 g2215 g3023 
g3007,6,g598[IL] g849 g1282 I3340 g2197 g3007 
g2981,6,g567 g839 g1273 I3328 g2179 g2981 
g3521,2,g3187 g3521 
I4424,8,g691[IL] I2172 g1143 I2880 g1820 I3215 g2097 I4424 
g3526,2,g3196 g3526 
I4433,8,g692[IL] I2182 g1161 I2870 g1813 I3225 g2103 I4433 
g3530,2,g3204 g3530 
I4441,8,g693[IL] I2193 g1177 I2860 g1807 I3235 g2109 I4441 
g3532,2,g3212 g3532 
I4455,8,g694[IL] I2204 g1193 I2845 g1791 I3247 g2118 I4455 
g3536,2,g3219 g3536 
I4462,8,g695[IL] I2215 g1209 I2831 g1783 I3261 g2135 I4462 
g3539,2,g2591 g3539 
I3720,8,g696[IL] I2225 g1222 I2814 g1773 I3274 g2155 I3720 
g3544,2,g2594 g3544 
I3723,8,g697[IL] I2234 g1236 I2788 g1761 I3281 g2158 I3723 
g4769,8,g3664 g3656 g3647 g3893 I5609 g4193 g4606 g4769 
g2804,4,I4008 I4009 I4010 g2804 
g292[IL],1,g292[IL] 
g2791,4,I3988 I3989 I3990 g2791 
g291[IL],1,g291[IL] 
g2780,4,I3970 I3971 I3972 g2780 
g290[IL],1,g290[IL] 
g2769,4,I3952 I3953 I3954 g2769 
g289[IL],1,g289[IL] 
g2757,4,I3933 I3934 I3935 g2757 
g288[IL],1,g288[IL] 
g2745,4,I3914 I3915 I3916 g2745 
g287[IL],1,g287[IL] 
g2731,4,I3893 I3894 I3895 g2731 
g286[IL],1,g286[IL] 
g2719,4,I3874 I3875 I3876 g2719 
g285[IL],1,g285[IL] 
g2698,4,I3846 I3847 I3848 g2698 
g284[IL],1,g284[IL] 
g1842,3,I2574 g1612 g1842 
g2036,2,g1764 g2036 
I2796,8,g281[IL] I1871 g804 g280[IL] I1868 g798 I2795 I2796 
I2797,8,g280[IL] I1868 g798 g281[IL] I1871 g804 I2795 I2797 
I8201,8,g5423 g5568 g5691 I7494 g5729 g5946 g6192 I8201 
g5170,6,g4586 g4698 g4596 g4701 g5091 g5170 
g4161,6,g3162 g3353 g3150 g3361 g3931 g4161 
I4402,8,g697[IL] I2234 g1236 I2893 g1825 I3428 g2283 I4402 
g2921,8,g276[IL] I1880 g821 I2491 g1519 I3059 g1950 g2921 
I4391,8,g696[IL] I2225 g1222 I2604 g1641 I3422 g2275 I4391 
g2087,6,g277[IL] I1859 g774 I2391 g1352 g2087 
g4165,6,g3136 g3382 g3128 g3383 g3927 g4165 
I4382,8,g695[IL] I2215 g1209 I2611 g1644 I3408 g2265 I4382 
g2934,8,g276[IL] I1880 g821 I2491 g1519 I3115 g2004 g2934 
I4375,8,g694[IL] I2204 g1193 I2617 g1646 I3391 g2254 I4375 
g2106,6,g278[IL] I1862 g784 I2414 g1378 g2106 
g4184,6,g3118 g3377 g3104 g3379 g3934 g4184 
I4366,8,g693[IL] I2193 g1177 I2620 g1647 I3379 g2244 I4366 
g2931,8,g276[IL] I1880 g821 I2491 g1519 I3099 g1988 g2931 
I4351,8,g692[IL] I2182 g1161 I2623 g1648 I3364 g2233 I4351 
g2136,6,g277[IL] I1859 g774 I2428 g1395 g2136 
g4186,6,g2822 g3368 g2809 g3374 g3973 g4186 
I4031,8,g691[IL] I2172 g1143 I2630 g1653 I2940 g1846 I4031 
g2923,8,g276[IL] I1880 g821 I2491 g1519 I3080 g1969 g2923 
I4019,8,g690[IL] I2165 g1123 I2638 g1659 I2929 g1841 I4019 
g2111,6,g279[IL] I1865 g791 I2420 g1384 g2111 
g5175,6,g4591 g4685 g4590 g4686 g5094 g5175 
g4178,6,g2796 g3352 g2783 g3360 g3959 g4178 
I3999,8,g697[IL] I2234 g1236 I2791 g1762 I2925 g1837 I3999 
g2920,8,g276[IL] I1880 g821 I2491 g1519 I3056 g1947 g2920 
I3979,8,g696[IL] I2225 g1222 I2817 g1774 I2922 g1836 I3979 
g2110,6,g277[IL] I1859 g774 I2417 g1381 g2110 
g4181,6,g2772 g3340 g2760 g3351 g3939 g4181 
I3961,8,g695[IL] I2215 g1209 I2835 g1787 I2919 g1835 I3961 
g2915,8,g276[IL] I1880 g821 I2491 g1519 I3034 g1931 g2915 
I3942,8,g694[IL] I2204 g1193 I2848 g1792 I2913 g1833 I3942 
g2079,6,g278[IL] I1862 g784 I2385 g1348 g2079 
g4169,6,g2748 g3329 g2734 g3339 g3966 g4169 
I3923,8,g693[IL] I2193 g1177 I2864 g1811 I3694 g2581 I3923 
g2907,8,g276[IL] I1880 g821 I2491 g1519 I3013 g1914 g2907 
I3902,8,g692[IL] I2182 g1161 I2873 g1814 I3687 g2576 I3902 
g2099,6,g277[IL] I1859 g774 I2402 g1366 g2099 
g4172,6,g2722 g3317 g2701 g3328 g3930 g4172 
I3883,8,g691[IL] I2172 g1143 I2883 g1821 I3681 g2574 I3883 
g2895,8,g276[IL] I1880 g821 I2491 g1519 I2989 g1894 g2895 
I3855,8,g690[IL] I2165 g1123 I2890 g1824 I3665 g2550 I3855 
g1628,7,g283[IL] I1877 g815 g282[IL] I1874 g809 g1628 
g4247,2,g4007 g4247 
I5308,7,g2100 g1582 g2928 g1764 g3512 I5307 I5308 
g1588,4,g280[IL] I1868 g798 g1588 
I5309,7,g2100 g1582 g2928 g1764 g3512 I5307 I5309 
g6558,5,I8202 I8203 g6397 g6474 g6558 
g2138,8,g283[IL] I1877 g815 g1639 g282[IL] I1874 g809 g2138 
g6628,6,I8202 I8203 g6397 g6474 g6540 g6628 
g6559,5,I8202 I8203 g6397 g6474 g6559 
g1481,7,g283[IL] I1877 g815 g282[IL] I1874 g809 g1481 
g2950,3,I2574 g1612 g2950 
g2156,8,g283[IL] I1877 g815 g282[IL] I1874 g809 g1642 g2156 
g5242,6,g4578 g4694 g4007 g4280 g5085 g5242 
g4234,7,g2100 g1582 g2928 g1764 g3512 g3921 g4234 
g3928,6,g2100 g1582 g2928 g1764 g3512 g3928 
g2295,5,g658[IL] g971 I2552 g1578 g2295 
g2089,8,g690[IL] I2165 g1123 g658[IL] g971 I2552 g1578 g2089 
g6905,4,I9104 g6879 I9182 g6905 
g6903,4,I9110 g6881 I9176 g6903 
g6901,4,I9116 g6883 I9170 g6901 
g6899,4,I9122 g6885 I9164 g6899 
g6897,4,I9128 g6887 I9158 g6897 
g6895,4,I9134 g6889 I9152 g6895 
g6893,4,I9137 g6890 I9146 g6893 
g6102[OL],6,g5711 I7692 g5920 I7802 g6102 g6102[OL] 
I7472,8,g4568 g4688 g5069 g5241 g5446 g5496 g5626 I7472 
g4537,8,g2095 g1573 g2924 g1749 g3505 g3903 g4410 g4537 
g1584,4,g208[IL] I1844 g743 g1584 
I2767,8,g209[IL] I1847 g749 g208[IL] I1844 g743 I2766 I2767 
I2768,8,g208[IL] I1844 g743 g209[IL] I1847 g749 I2766 I2768 
g1474,7,g211[IL] I1853 g760 g210[IL] I1850 g754 g1474 
g4233,7,g2095 g1573 g2924 g1749 g3505 g3912 g4233 
g3924,6,g2095 g1573 g2924 g1749 g3505 g3924 
g2067,5,g1706 I3177 I3178 I3179 g2067 
g3457,1,g3457 
g2653,8,g197[IL] g1053 I2627 g1650 I3255 g2125 I3797 g2653 
g3285,1,g3285 
g2195,7,g693[IL] I2193 g1177 I2343 g1330 I3334 g2195 
g4147[OL],6,g3247 I5043 g3840 I5523 g4147 g4147[OL] 
g4841[OL],7,g4371 g4440 I6302 g4704 I6531 g4841 g4841[OL] 
g461[IL],1,g461[IL] 
g3789,8,g1473 g1470 g1459 g2010 g2908 I4667 g3388 g3789 
g944,6,g500[IL] g212[IL] I2003 I2004 I2005 g944 
g941,6,g504[IL] g218[IL] I1994 I1995 I1996 g941 
g939,6,g508[IL] g224[IL] I1986 I1987 I1988 g939 
g937,6,g512[IL] g230[IL] I1978 I1979 I1980 g937 
g930,6,g516[IL] g236[IL] I1969 I1970 I1971 g930 
g928,6,g520[IL] g242[IL] I1961 I1962 I1963 g928 
g926,6,g524[IL] g248[IL] I1951 I1952 I1953 g926 
g950,6,g528[IL] g254[IL] I2021 I2022 I2023 g950 
g948,6,g532[IL] g260[IL] I2013 I2014 I2015 g948 
g541[IL],1,g541[IL] 
g4038,8,g1473 g1470 g1459 g2010 g2908 I4667 g3388 g4038 
g430[IL],1,g430[IL] 
g6725[OL],4,g6694 I8869 g6725 g6725[OL] 
I8800,8,g6182 I8147 g6361 g6484 g6574 g6643 g6684 I8800 
g6250,8,g5060 g5318 g5467 g5536 g5631 g5824 g6036 g6250 
g6229,8,g5060 g5318 g5467 g5536 g5631 g5824 g6036 g6229 
g3232[OL],2,g3232 g3232[OL] 
I4495,8,g571[IL] g842 g1275 I3431 g2284 I4229 g3022 I4495 
g4119[OL],8,g2026 g2947 I4681 g3441 g3730 I5439 g4119 g4119[OL] 
g328[IL],1,g328[IL] 
g4141[OL],6,g3589 I5081 g3860 I5505 g4141 g4141[OL] 
g6726[OL],4,g6695 I8872 g6726 g6726[OL] 
I8803,8,g6185 I8153 g6363 g6486 g6575 g6644 g6685 I8803 
g6256,8,g5060 g5318 g5467 g5536 g5631 g5824 g6040 g6256 
g6230,8,g5060 g5318 g5467 g5536 g5631 g5824 g6040 g6230 
g6507[OL],6,g6297 I8267 g6419 I8441 g6507 g6507[OL] 
g6248,8,g5060 g5318 g5388 g5546 g5688 g5731 g5894 g6248 
g1585,7,g684[IL] I2053 g1017 g683[IL] I2050 g1011 g1585 
g2084,1,g2084 
g1577,4,g681[IL] I2044 g1001 g1577 
g1563,4,g682[IL] I2047 g1006 g1563 
g2916,2,g2113 g2916 
g6089,7,g5060 g5318 g5388 g5546 g5688 g5731 g6089 
g6590[OL],7,g6346 g6456 I8555 g6553 I8638 g6590 g6590[OL] 
g6274,8,g5562 g5680 I7576 I7577 I7578 g5783 g5956 g6274 
g5682,8,g4825 I6780 g5124 g5281 I7091 g5425 g5578 g5682 
g5074,8,g2853 g3437 g3819 g4253 g4471 g4792 g4598 g5074 
g1417,5,g306 g873 g310 g889 g1417 
g1978,6,g319 g862 g314 g301 g1387 g1978 
g4472,7,g2831 g3380 g2853 g3437 g3819 g4253 g4472 
g2007,5,g314 g306 g873 g1411 g2007 
g5228,3,g5096 g4800 g5228 
g2160,7,g361[IL] g946 I2581 g1624 g49[IL] g929 g2160 
g931,2,g54[IL] g931 
g938,2,g59[IL] g938 
g940,2,g64[IL] g940 
g942,2,g69[IL] g942 
g947,2,g74[IL] g947 
g949,2,g79[IL] g949 
g4647,6,g3502 I5328 g4022 I5753 g4296 g4647 
g2795,8,g306 g310 g889 g1398 g1997 g314 g866 g2795 
g2419,7,g361[IL] I1825 g706 g49[IL] g1808 g54[IL] g2419 
g5457,6,g4825 I6780 g5124 I6956 g5304 g5457 
g5429,6,g4825 I6780 g5124 I6956 g5304 g5429 
g398[IL],1,g398[IL] 
g6087,8,g5161 g4873 g5430 g5500 g5605 I7612 g5813 g6087 
g5095,7,g2937 g3551 g3936 g4277 g4593 g4794 g5095 
g951,2,g84[IL] g951 
g4535,6,g3502 I5328 g4022 I5577 g4173 g4535 
g4838,6,g3147 g3694 g4054 g4407 g4648 g4838 
g5954,1,g5954 
g5121,6,g4284 g4633 I6456 g4790 I6775 g5121 
I5739,8,g2340 g3215 g2008 g2962 I4777 g3575 g3942 I5739 
g3231[OL],2,g3231 g3231[OL] 
I4492,8,g654[IL] g856 g1274 I3425 g2276 I4198 g3001 I4492 
g5330[OL],1,g5330[OL] 
g5330,8,I6659 I6660 I6661 g5019 I6819 g5151 I6992 g5330 
g4762,8,I6026 I6027 I6028 g4504 I6390 I6391 I6392 g4762 
g4610,8,I5766 I5767 I5768 g4301 I6185 I6186 I6187 g4610 
g3961,6,g3267 g3271 I5207 I5208 I5209 g3961 
g3957,6,g3567 g3571 I5195 I5196 I5197 g3957 
g3955,6,g3589 g3593 I5187 I5188 I5189 g3955 
g5147[OL],1,g5147[OL] 
g5147,8,g4218 g4460 I6382 g4758 I6689 g5051 I6809 g5147 
I5640,8,g2846 I4782 I4783 I4784 g3597 I4961 g3770 I5640 
g619[IL],1,g619[IL] 
g2015,7,g616[IL] g613[IL] g610[IL] g602[IL] g918 g1419 g2015 
g622[IL],1,g622[IL] 
g1539,3,g639 g878 g1539 
g4839[OL],6,g4497 I6414 g4770 I6525 g4839 g4839[OL] 
