NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE,CLUSTER CONTENTS
II6509,N,N,1,2,3,II6509 g1684 g1[IL] 
g2767,N,N,1,3,4,g2767 II6509 g1684 g1[IL] 
II7911,N,N,1,4,5,II7911 g2767 II6509 g1684 g1[IL] 
g4096,N,N,1,5,6,g4096 II7911 g2767 II6509 g1684 g1[IL] 
II8932,N,N,1,6,7,II8932 g4096 II7911 g2767 II6509 g1684 g1[IL] 
g4677,N,N,1,7,8,g4677 II8932 g4096 II7911 g2767 II6509 g1684 g1[IL] 
g5335,N,N,1,11,8,g5335 g4677 II8932 g4096 II7911 g2767 II6509 g1684 
g6198,N,N,1,12,8,g6198 g5335 g4677 II8932 g4096 II7911 g2767 II6509 
g6639,N,N,1,13,8,g6639 g6198 g5335 g4677 II8932 g4096 II7911 g2767 
g971[IL],Y,N,0,0,1,g971[IL] 
g962,Y,N,0,0,1,g962 
g972[IL],Y,N,0,0,1,g972[IL] 
g969[IL],Y,N,0,0,1,g969[IL] 
g970[IL],Y,N,0,0,1,g970[IL] 
g966[IL],Y,N,0,0,1,g966[IL] 
g963[IL],Y,N,0,0,1,g963[IL] 
II5757,N,N,1,1,5,II5757 g963[IL] g966[IL] g970[IL] g969[IL] 
g1872,N,N,1,4,8,g1872 II5757 g963[IL] g966[IL] g970[IL] g969[IL] g972[IL] g962 
g7071,N,N,1,14,8,g7071 g6639 g6198 g5335 g4677 II8932 g4096 II7911 
g6745,N,N,1,13,8,g6745 g6198 g5335 g4677 II8932 g4096 II7911 g2767 
g6028,N,N,1,12,8,g6028 g5529 g4689 II8966 g4444 II8452 g2816 g1685 
g6980,N,N,1,14,8,g6980 g6745 g6198 g5335 g6028 g5529 g4677 II8932 
g7191,N,N,1,17,8,g7191 g6980 g6745 g7071 g6639 g6198 g5335 g6028 
g976[IL],Y,N,0,0,1,g976[IL] 
g1600,N,N,1,1,2,g1600 g976[IL] 
g7406,N,N,1,18,8,g7406 g7191 g6980 g6745 g7071 g6639 g6198 g5335 
g7202,N,N,1,15,8,g7202 g7071 g6639 g6198 g5335 g6028 g5529 g4677 
g7421,N,N,1,17,8,g7421 g7202 g7071 g6639 g6198 g5335 g6028 g6745 
g973[IL],Y,N,0,0,1,g973[IL] 
g1597,N,N,1,1,2,g1597 g973[IL] 
g7566,N,N,1,18,8,g7566 g7421 g7202 g7071 g6639 g6198 g5335 g6028 
g5836,N,N,1,12,8,g5836 g5529 g4689 II8966 g4444 II8452 g2816 g1685 
g979[IL],Y,N,0,0,1,g979[IL] 
II5781,N,N,1,1,2,II5781 g979[IL] 
g1901,N,N,1,2,3,g1901 II5781 g979[IL] 
g984[IL],Y,N,0,0,1,g984[IL] 
g1788,N,N,1,1,2,g1788 g984[IL] 
g6664,N,N,1,13,8,g6664 g5836 g5529 g4689 II8966 g4444 II8452 g2816 
II6970,N,N,1,5,8,II6970 g1872 II5757 g963[IL] g966[IL] g970[IL] g969[IL] g972[IL] 
g3492,N,N,1,6,8,g3492 II6970 g1872 II5757 g963[IL] g966[IL] g970[IL] g969[IL] 
II14302,N,N,1,14,8,II14302 g6664 g5836 g5529 g4689 II8966 g4444 II8452 
g8009,N,N,1,21,8,g8009 g7566 g7421 g7406 g7191 g7202 g7071 g6639 
g8625,N,N,1,22,8,g8625 g8009 g7566 g7421 g7406 g7191 g7202 g7071 
II14848,N,N,1,23,8,II14848 g8625 g8009 g7566 g7421 g7406 g7191 g7202 
g8684,N,N,1,24,8,g8684 II14848 g8625 g8009 g7566 g7421 g7406 g7191 
II15184,N,N,1,26,8,II15184 g8684 II14848 g8625 g8009 g7566 g7421 g7406 
g8866,N,N,1,27,8,g8866 II15184 g8684 II14848 g8625 g8009 g7566 g7421 
II5410,N,N,1,28,8,II5410 g8866 II15184 g8684 II14848 g8625 g8009 g7566 
g1006,N,Y,1,29,8,g1006 II5410 g8866 II15184 g8684 II14848 g8625 g8009 
g6110,N,N,1,12,8,g6110 g5335 g4677 II8932 g4096 II7911 g2767 II6509 
g1013[IL],Y,N,0,0,1,g1013[IL] 
g1865,N,N,1,1,2,g1865 g1013[IL] 
II14219,N,N,1,19,8,II14219 g7566 g7421 g7202 g7071 g6639 g6198 g5335 
g7784,N,N,1,22,8,g7784 II14219 g7566 g7421 g7202 g7406 g7191 g7071 
g1864,N,N,1,1,2,g1864 g162[IL] 
g8630,N,N,1,23,8,g8630 g7784 II14219 g7566 g7421 g7202 g7406 g7191 
II14851,N,N,1,24,8,II14851 g8630 g7784 II14219 g7566 g7421 g7202 g7406 
g8685,N,N,1,25,8,g8685 II14851 g8630 g7784 II14219 g7566 g7421 g7202 
II15190,N,N,1,26,8,II15190 g8685 II14851 g8630 g7784 II14219 g7566 g7421 
g8868,N,N,1,28,8,g8868 II15190 g8685 II14851 g8630 g7784 II14219 g7566 
II5416,N,N,1,29,8,II5416 g8868 II15190 g8685 II14851 g8630 g7784 II14219 
g1015,N,Y,1,30,8,g1015 II5416 g8868 II15190 g8685 II14851 g8630 g7784 
g1029[IL],Y,N,0,0,1,g1029[IL] 
II5471,N,N,1,1,2,II5471 g1029[IL] 
g1603,N,N,1,2,3,g1603 II5471 g1029[IL] 
II5419,N,N,1,3,4,II5419 g1603 II5471 g1029[IL] 
g1017,N,Y,1,4,5,g1017 II5419 g1603 II5471 g1029[IL] 
g1245[IL],Y,N,0,0,1,g1245[IL] 
II5425,N,N,1,1,2,II5425 g1245[IL] 
g1246,N,Y,1,2,3,g1246 II5425 g1245[IL] 
g1409[IL],Y,N,0,0,1,g1409[IL] 
II5568,N,N,1,1,2,II5568 g1409[IL] 
g1724,N,Y,1,2,3,g1724 II5568 g1409[IL] 
g891[IL],Y,N,0,0,1,g891[IL] 
II5633,N,N,1,1,2,II5633 g891[IL] 
g1783,N,Y,1,2,3,g1783 II5633 g891[IL] 
g921[IL],Y,N,0,0,1,g921[IL] 
II5654,N,N,1,1,2,II5654 g921[IL] 
g1798,N,Y,1,2,3,g1798 II5654 g921[IL] 
g916[IL],Y,N,0,0,1,g916[IL] 
II5664,N,N,1,1,2,II5664 g916[IL] 
g1804,N,Y,1,2,3,g1804 II5664 g916[IL] 
g911[IL],Y,N,0,0,1,g911[IL] 
II5676,N,N,1,1,2,II5676 g911[IL] 
g1810,N,Y,1,2,3,g1810 II5676 g911[IL] 
g906[IL],Y,N,0,0,1,g906[IL] 
II5689,N,N,1,1,2,II5689 g906[IL] 
g1817,N,Y,1,2,3,g1817 II5689 g906[IL] 
g901[IL],Y,N,0,0,1,g901[IL] 
II5706,N,N,1,1,2,II5706 g901[IL] 
g1824,N,Y,1,2,3,g1824 II5706 g901[IL] 
g896[IL],Y,N,0,0,1,g896[IL] 
II5715,N,N,1,1,2,II5715 g896[IL] 
g1829,N,Y,1,2,3,g1829 II5715 g896[IL] 
II5751,N,N,1,1,2,II5751 g963[IL] 
g1870,N,Y,1,2,3,g1870 II5751 g963[IL] 
II5754,N,N,1,1,2,II5754 g966[IL] 
g1871,N,Y,1,2,3,g1871 II5754 g966[IL] 
g1240[IL],Y,N,0,0,1,g1240[IL] 
II5772,N,N,1,1,2,II5772 g1240[IL] 
g1894,N,Y,1,2,3,g1894 II5772 g1240[IL] 
g1524[IL],Y,N,0,0,1,g1524[IL] 
II5789,N,N,1,1,2,II5789 g1524[IL] 
g1911,N,Y,1,2,3,g1911 II5789 g1524[IL] 
g1081[IL],Y,N,0,0,1,g1081[IL] 
II5817,N,N,1,1,2,II5817 g1081[IL] 
g1944,N,Y,1,2,3,g1944 II5817 g1081[IL] 
g1254[IL],Y,N,0,0,1,g1254[IL] 
II5766,N,N,1,1,2,II5766 g1254[IL] 
g1886,N,N,1,2,3,g1886 II5766 g1254[IL] 
II6457,N,N,1,3,4,II6457 g1886 II5766 g1254[IL] 
g2662,N,Y,1,4,5,g2662 II6457 g1886 II5766 g1254[IL] 
g576[IL],Y,N,0,0,1,g576[IL] 
II6574,N,N,1,1,2,II6574 g576[IL] 
g2844,N,Y,1,2,3,g2844 II6574 g576[IL] 
g1084[IL],Y,N,0,0,1,g1084[IL] 
II5475,N,N,1,1,2,II5475 g1084[IL] 
g1612,N,N,1,2,3,g1612 II5475 g1084[IL] 
II6608,N,N,1,3,4,II6608 g1612 II5475 g1084[IL] 
g2888,N,Y,1,4,5,g2888 II6608 g1612 II5475 g1084[IL] 
II6805,N,N,1,3,4,II6805 g1603 II5471 g1029[IL] 
g3077,N,Y,1,4,5,g3077 II6805 g1603 II5471 g1029[IL] 
g287[IL],Y,N,0,0,1,g287[IL] 
II6834,N,N,1,1,2,II6834 g287[IL] 
g3096,N,Y,1,2,3,g3096 II6834 g287[IL] 
g368[IL],Y,N,0,0,1,g368[IL] 
II6849,N,N,1,1,2,II6849 g368[IL] 
g3130,N,Y,1,2,3,g3130 II6849 g368[IL] 
g449[IL],Y,N,0,0,1,g449[IL] 
II6856,N,N,1,1,2,II6856 g449[IL] 
g3159,N,Y,1,2,3,g3159 II6856 g449[IL] 
g530[IL],Y,N,0,0,1,g530[IL] 
II6868,N,N,1,1,2,II6868 g530[IL] 
g3191,N,Y,1,2,3,g3191 II6868 g530[IL] 
g1461[IL],Y,N,0,0,1,g1461[IL] 
II5435,N,N,1,1,2,II5435 g1461[IL] 
g1558,N,N,1,2,3,g1558 II5435 g1461[IL] 
II6680,N,N,1,3,4,II6680 g1558 II5435 g1461[IL] 
g2936,N,N,1,4,5,g2936 II6680 g1558 II5435 g1461[IL] 
II7290,N,N,1,5,6,II7290 g2936 II6680 g1558 II5435 g1461[IL] 
g3829,N,Y,1,6,7,g3829 II7290 g2936 II6680 g1558 II5435 g1461[IL] 
II6959,N,N,1,3,4,II6959 g1558 II5435 g1461[IL] 
g3461,N,N,1,4,5,g3461 II6959 g1558 II5435 g1461[IL] 
II7380,N,N,1,5,6,II7380 g3461 II6959 g1558 II5435 g1461[IL] 
g3859,N,Y,1,6,7,g3859 II7380 g3461 II6959 g1558 II5435 g1461[IL] 
II6963,N,N,1,3,4,II6963 g1558 II5435 g1461[IL] 
g3465,N,N,1,4,5,g3465 II6963 g1558 II5435 g1461[IL] 
II7383,N,N,1,5,6,II7383 g3465 II6963 g1558 II5435 g1461[IL] 
g3860,N,Y,1,6,7,g3860 II7383 g3465 II6963 g1558 II5435 g1461[IL] 
g1073[IL],Y,N,0,0,1,g1073[IL] 
g1611,N,N,1,1,2,g1611 g1073[IL] 
g2655,N,N,1,2,3,g2655 g1611 g1073[IL] 
II8205,N,N,1,3,4,II8205 g2655 g1611 g1073[IL] 
g4267,N,Y,1,4,5,g4267 II8205 g2655 g1611 g1073[IL] 
g878[IL],Y,N,0,0,1,g878[IL] 
II8291,N,N,1,1,2,II8291 g878[IL] 
g4316,N,Y,1,2,3,g4316 II8291 g878[IL] 
g1160[IL],Y,N,0,0,1,g1160[IL] 
II8351,N,N,1,1,2,II8351 g1160[IL] 
g4370,N,Y,1,2,3,g4370 II8351 g1160[IL] 
g1163[IL],Y,N,0,0,1,g1163[IL] 
II8354,N,N,1,1,2,II8354 g1163[IL] 
g4371,N,Y,1,2,3,g4371 II8354 g1163[IL] 
g1182[IL],Y,N,0,0,1,g1182[IL] 
II8357,N,N,1,1,2,II8357 g1182[IL] 
g4372,N,Y,1,2,3,g4372 II8357 g1182[IL] 
g1186[IL],Y,N,0,0,1,g1186[IL] 
II8360,N,N,1,1,2,II8360 g1186[IL] 
g4373,N,Y,1,2,3,g4373 II8360 g1186[IL] 
g936[IL],Y,N,0,0,1,g936[IL] 
g2555,N,N,1,1,2,g2555 g936[IL] 
g940[IL],Y,N,0,0,1,g940[IL] 
g2557,N,N,1,1,2,g2557 g940[IL] 
II6538,N,N,1,2,5,II6538 g2557 g940[IL] g2555 g936[IL] 
II6539,N,N,1,3,6,II6539 II6538 g2557 g940[IL] g2555 g936[IL] 
II6540,N,N,1,3,6,II6540 II6538 g2557 g940[IL] g2555 g936[IL] 
g2801,N,N,1,4,8,g2801 II6540 II6539 II6538 g2557 g940[IL] g2555 g936[IL] 
II8268,N,N,1,8,8,II8268 g2801 II6540 II6539 II6538 g2557 g940[IL] g2555 
g4303,N,N,1,9,8,g4303 II8268 g2801 II6540 II6539 II6538 g2557 g940[IL] 
II8880,N,N,1,10,8,II8880 g4303 II8268 g2801 II6540 II6539 II6538 g2557 
g4655,N,Y,1,11,8,g4655 II8880 g4303 II8268 g2801 II6540 II6539 II6538 
g1375[IL],Y,N,0,0,1,g1375[IL] 
g1371[IL],Y,N,0,0,1,g1371[IL] 
g1372[IL],Y,N,0,0,1,g1372[IL] 
g1373[IL],Y,N,0,0,1,g1373[IL] 
g1374[IL],Y,N,0,0,1,g1374[IL] 
g2229,N,N,1,1,5,g2229 g1374[IL] g1373[IL] g1372[IL] g1371[IL] 
g1367[IL],Y,N,0,0,1,g1367[IL] 
g1368[IL],Y,N,0,0,1,g1368[IL] 
g1369[IL],Y,N,0,0,1,g1369[IL] 
g1370[IL],Y,N,0,0,1,g1370[IL] 
g2213,N,N,1,1,5,g2213 g1370[IL] g1369[IL] g1368[IL] g1367[IL] 
g1363[IL],Y,N,0,0,1,g1363[IL] 
g1364[IL],Y,N,0,0,1,g1364[IL] 
g1365[IL],Y,N,0,0,1,g1365[IL] 
g1366[IL],Y,N,0,0,1,g1366[IL] 
g2206,N,N,1,1,5,g2206 g1366[IL] g1365[IL] g1364[IL] g1363[IL] 
g3504,N,N,1,5,8,g3504 g2206 g1366[IL] g1365[IL] g1364[IL] g1363[IL] g2213 g1370[IL] 
II8277,N,N,1,6,8,II8277 g3504 g2206 g1366[IL] g1365[IL] g1364[IL] g1363[IL] g2213 
g4308,N,N,1,7,8,g4308 II8277 g3504 g2206 g1366[IL] g1365[IL] g1364[IL] g1363[IL] 
II8886,N,N,1,8,8,II8886 g4308 II8277 g3504 g2206 g1366[IL] g1365[IL] g1364[IL] 
g4657,N,Y,1,9,8,g4657 II8886 g4308 II8277 g3504 g2206 g1366[IL] g1365[IL] 
g1392[IL],Y,N,0,0,1,g1392[IL] 
g2343,N,N,1,1,2,g2343 g1392[IL] 
g1391[IL],Y,N,0,0,1,g1391[IL] 
g3528,N,N,1,2,4,g3528 g2343 g1392[IL] g1391[IL] 
II7987,N,N,1,3,5,II7987 g3528 g2343 g1392[IL] g1391[IL] 
g4130,N,N,1,4,6,g4130 II7987 g3528 g2343 g1392[IL] g1391[IL] 
II8895,N,N,1,5,7,II8895 g4130 II7987 g3528 g2343 g1392[IL] g1391[IL] 
g4660,N,Y,1,6,8,g4660 II8895 g4130 II7987 g3528 g2343 g1392[IL] g1391[IL] 
g1394[IL],Y,N,0,0,1,g1394[IL] 
g2263,N,N,1,1,2,g2263 g1394[IL] 
g1395[IL],Y,N,0,0,1,g1395[IL] 
g3505,N,N,1,2,4,g3505 g2263 g1394[IL] g1395[IL] 
II7888,N,N,1,3,5,II7888 g3505 g2263 g1394[IL] g1395[IL] 
g4089,N,N,1,4,6,g4089 II7888 g3505 g2263 g1394[IL] g1395[IL] 
II8898,N,N,1,5,7,II8898 g4089 II7888 g3505 g2263 g1394[IL] g1395[IL] 
g4661,N,Y,1,6,8,g4661 II8898 g4089 II7888 g3505 g2263 g1394[IL] g1395[IL] 
g1397[IL],Y,N,0,0,1,g1397[IL] 
g2359,N,N,1,1,2,g2359 g1397[IL] 
g1398[IL],Y,N,0,0,1,g1398[IL] 
g3555,N,N,1,2,4,g3555 g2359 g1397[IL] g1398[IL] 
II7981,N,N,1,3,5,II7981 g3555 g2359 g1397[IL] g1398[IL] 
g4126,N,N,1,4,6,g4126 II7981 g3555 g2359 g1397[IL] g1398[IL] 
II8904,N,N,1,5,7,II8904 g4126 II7981 g3555 g2359 g1397[IL] g1398[IL] 
g4663,N,Y,1,6,8,g4663 II8904 g4126 II7981 g3555 g2359 g1397[IL] g1398[IL] 
g1400[IL],Y,N,0,0,1,g1400[IL] 
g2282,N,N,1,1,2,g2282 g1400[IL] 
g1401[IL],Y,N,0,0,1,g1401[IL] 
g3516,N,N,1,2,4,g3516 g2282 g1400[IL] g1401[IL] 
II7908,N,N,1,3,5,II7908 g3516 g2282 g1400[IL] g1401[IL] 
g4095,N,N,1,4,6,g4095 II7908 g3516 g2282 g1400[IL] g1401[IL] 
II8907,N,N,1,5,7,II8907 g4095 II7908 g3516 g2282 g1400[IL] g1401[IL] 
g4664,N,Y,1,6,8,g4664 II8907 g4095 II7908 g3516 g2282 g1400[IL] g1401[IL] 
g1554,Y,N,0,0,1,g1554 
II6242,N,N,1,1,2,II6242 g1554 
g2380,N,N,1,2,3,g2380 II6242 g1554 
g3676,N,N,1,3,4,g3676 g2380 II6242 g1554 
g4134,N,N,1,4,5,g4134 g3676 g2380 II6242 g1554 
II9250,N,N,1,5,6,II9250 g4134 g3676 g2380 II6242 g1554 
g4892,N,N,1,6,7,g4892 II9250 g4134 g3676 g2380 II6242 g1554 
II9555,N,N,1,7,8,II9555 g4892 II9250 g4134 g3676 g2380 II6242 g1554 
g5143,N,Y,1,11,8,g5143 II9555 g4892 II9250 g4134 g3676 g2380 II6242 
g887[IL],Y,N,0,0,1,g887[IL] 
g1852,N,N,1,1,2,g1852 g887[IL] 
g3086,N,N,1,2,3,g3086 g1852 g887[IL] 
g889[IL],Y,N,0,0,1,g889[IL] 
g1857,N,N,1,1,2,g1857 g889[IL] 
g3124,N,N,1,2,3,g3124 g1857 g889[IL] 
g4302,N,N,1,6,8,g4302 g3124 g1857 g889[IL] g3086 g1852 g887[IL] g3659 
II9064,N,N,1,7,8,II9064 g4302 g3124 g1857 g889[IL] g3086 g1852 g887[IL] 
g4742,N,N,1,8,8,g4742 II9064 g4302 g3124 g1857 g889[IL] g3086 g1852 
II9618,N,N,1,9,8,II9618 g4742 II9064 g4302 g3124 g1857 g889[IL] g3086 
g5164,N,Y,1,10,8,g5164 II9618 g4742 II9064 g4302 g3124 g1857 g889[IL] 
g1236[IL],Y,N,0,0,1,g1236[IL] 
II10032,N,N,1,1,2,II10032 g1236[IL] 
g5571,N,Y,1,2,3,g5571 II10032 g1236[IL] 
g13[IL],Y,N,0,0,1,g13[IL] 
II6358,N,N,1,1,2,II6358 g13[IL] 
g2532,N,N,1,2,3,g2532 II6358 g13[IL] 
II7079,N,N,1,3,4,II7079 g2532 II6358 g13[IL] 
g3611,N,N,1,4,5,g3611 II7079 g2532 II6358 g13[IL] 
II8428,N,N,1,5,6,II8428 g3611 II7079 g2532 II6358 g13[IL] 
g4426,N,N,1,6,7,g4426 II8428 g3611 II7079 g2532 II6358 g13[IL] 
II9493,N,N,1,7,8,II9493 g4426 II8428 g3611 II7079 g2532 II6358 g13[IL] 
g5109,N,N,1,11,8,g5109 II9493 g4426 II8428 g3611 II7079 g2532 II6358 
II10154,N,N,1,12,8,II10154 g5109 II9493 g4426 II8428 g3611 II7079 g2532 
g5669,N,Y,1,13,8,g5669 II10154 g5109 II9493 g4426 II8428 g3611 II7079 
g16[IL],Y,N,0,0,1,g16[IL] 
II6363,N,N,1,1,2,II6363 g16[IL] 
g2539,N,N,1,2,3,g2539 II6363 g16[IL] 
II7095,N,N,1,3,4,II7095 g2539 II6363 g16[IL] 
g3630,N,N,1,4,5,g3630 II7095 g2539 II6363 g16[IL] 
II8449,N,N,1,5,6,II8449 g3630 II7095 g2539 II6363 g16[IL] 
g4443,N,N,1,6,7,g4443 II8449 g3630 II7095 g2539 II6363 g16[IL] 
II9217,N,N,1,7,8,II9217 g4443 II8449 g3630 II7095 g2539 II6363 g16[IL] 
g4873,N,N,1,11,8,g4873 II9217 g4443 II8449 g3630 II7095 g2539 II6363 
II10169,N,N,1,12,8,II10169 g4873 II9217 g4443 II8449 g3630 II7095 g2539 
g5678,N,Y,1,13,8,g5678 II10169 g4873 II9217 g4443 II8449 g3630 II7095 
g20[IL],Y,N,0,0,1,g20[IL] 
II6368,N,N,1,1,2,II6368 g20[IL] 
g2546,N,N,1,2,3,g2546 II6368 g20[IL] 
II7112,N,N,1,3,4,II7112 g2546 II6368 g20[IL] 
g3640,N,N,1,4,5,g3640 II7112 g2546 II6368 g20[IL] 
II8480,N,N,1,5,6,II8480 g3640 II7112 g2546 II6368 g20[IL] 
g4462,N,N,1,6,7,g4462 II8480 g3640 II7112 g2546 II6368 g20[IL] 
II9025,N,N,1,7,8,II9025 g4462 II8480 g3640 II7112 g2546 II6368 g20[IL] 
g4721,N,N,1,11,8,g4721 II9025 g4462 II8480 g3640 II7112 g2546 II6368 
II10177,N,N,1,12,8,II10177 g4721 II9025 g4462 II8480 g3640 II7112 g2546 
g5682,N,Y,1,13,8,g5682 II10177 g4721 II9025 g4462 II8480 g3640 II7112 
g33[IL],Y,N,0,0,1,g33[IL] 
II6371,N,N,1,1,2,II6371 g33[IL] 
g2547,N,N,1,2,3,g2547 II6371 g33[IL] 
II7115,N,N,1,3,4,II7115 g2547 II6371 g33[IL] 
g3641,N,N,1,4,5,g3641 II7115 g2547 II6371 g33[IL] 
II8483,N,N,1,5,6,II8483 g3641 II7115 g2547 II6371 g33[IL] 
g4463,N,N,1,6,7,g4463 II8483 g3641 II7115 g2547 II6371 g33[IL] 
II9531,N,N,1,7,8,II9531 g4463 II8483 g3641 II7115 g2547 II6371 g33[IL] 
g5129,N,N,1,11,8,g5129 II9531 g4463 II8483 g3641 II7115 g2547 II6371 
II10183,N,N,1,12,8,II10183 g5129 II9531 g4463 II8483 g3641 II7115 g2547 
g5684,N,Y,1,13,8,g5684 II10183 g5129 II9531 g4463 II8483 g3641 II7115 
g38[IL],Y,N,0,0,1,g38[IL] 
II6376,N,N,1,1,2,II6376 g38[IL] 
g2554,N,N,1,2,3,g2554 II6376 g38[IL] 
II7132,N,N,1,3,4,II7132 g2554 II6376 g38[IL] 
g3652,N,N,1,4,5,g3652 II7132 g2554 II6376 g38[IL] 
II8520,N,N,1,5,6,II8520 g3652 II7132 g2554 II6376 g38[IL] 
g4482,N,N,1,6,7,g4482 II8520 g3652 II7132 g2554 II6376 g38[IL] 
II8925,N,N,1,7,8,II8925 g4482 II8520 g3652 II7132 g2554 II6376 g38[IL] 
g4670,N,N,1,11,8,g4670 II8925 g4482 II8520 g3652 II7132 g2554 II6376 
II10190,N,N,1,12,8,II10190 g4670 II8925 g4482 II8520 g3652 II7132 g2554 
g5687,N,Y,1,13,8,g5687 II10190 g4670 II8925 g4482 II8520 g3652 II7132 
g49,Y,N,0,0,1,g49 
